Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
6b2d2f277d7b470da67f79b461d1a009,298.16,101.325,1,O=C1CCCC1,1.0,42.63,0.0,42.35100064321363,0.2326526075886013,0.07784064108720917,0.03571428571428571,25.6831695776047,4.214549258972937e-06,0.018349423283212207,-0.0007523041213966174,0.0022010597663216507,0.00036525893438445266,0.008224451127762067,0.0013909316956485166,0.001079836700070827,-3.329386536338467e-05,,,,,ketone
e8e70fcf04ee463a9671f8e8beb0cdba,298.15,101.325,1,CCCC(C)=O,1.0,38.43,0.0,40.16754302713361,0.26652871767124864,3.019055771140634,0.03571428571428571,25.6831695776047,0.00016346164529661787,-0.13625999442339315,0.002882347876874872,-0.01218166144175638,-0.0022378250145398933,-0.045617868075156914,-0.008252590736070353,-0.006039607591403274,-0.0006188136149605503,,,,,ketone
ccb77d44c1e74368bbfd37152c26ea21,298.16,101.325,1,O=C1CCCCC1,1.0,44.89,0.0,47.823337701995044,0.17505514032429662,8.604470073945562,0.03571428571428571,25.6831695776047,0.0004658744129994197,-0.24443579008355598,0.00755136637065044,-0.021287029463614177,-0.0033881013318952154,-0.10392433814458274,-0.019272440420548178,-0.010517716461545952,0.0010397923996214196,,,,,ketone
306e2ef66008434a91f82d02cf6e6983,298.16,101.325,1,O=C1CCCCCC1,1.0,49.54,0.0,52.62937731036979,0.2991954886887201,9.544252165827684,0.03571428571428571,25.6831695776047,0.0005167573176571599,-0.2523916416053965,0.017331277317841582,-0.023248945498544126,-0.003867283711468918,-0.12880165042831535,-0.02161680277044301,-0.01115290319271257,0.0018294766266363212,,,,,ketone
