Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
d3f4632f13024f369f5a3659bf4bf209,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.8520400000000001,0.0,0.8473845846379376,0.00032661731398494456,2.1672892193327398e-05,0.03333333333333333,0.04821932532357388,0.0003107086592704138,0.16291209983898175,-0.07177716030452566,0.04386636026649677,0.0009863651123087763,0.20554782715515976,0.010088807133594916,0.013512707448173449,-0.017007137646271434,0.02235415426737137,0.0012465530407105322,0.0122664573043736,-0.01497568189824098,ester,alcohol
c411fef1a75a461da323ed6d85732898,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.8785100000000002,0.0,0.8755590276996938,0.00031507122443293404,8.70823751717557e-06,0.03333333333333333,0.04821932532357388,0.00012484373471866253,0.12984243007929056,-0.044821199604045875,0.04120526823353773,0.0014307341874772966,0.12660025587131613,0.004798422205593129,0.008983067379223043,-0.022222060920936575,0.020527457403791857,0.0007778522175178888,0.0015808418271679521,-0.006015304723368404,ester,alcohol
2d405379dd184c1482d2f2886a9442c0,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.8272700000000002,0.0,0.8214815446971717,0.0003805256100767044,3.3506214792842855e-05,0.03333333333333333,0.04821932532357388,0.00048035448996123944,0.19232312231969892,-0.10917942168605013,0.042949283643727736,0.0032230223389404285,0.32622146491470505,0.029135090885399013,0.016769215536935337,-0.004375086789117864,0.01733694790140348,-0.004739864587480221,0.024657413368465553,-0.0415837851751133,ester,alcohol
37d4555b84be409b90fe461483c80afc,298.15,100.0,2,COC=O,0.4946,CO,0.5054,0.8956100000000002,0.0,0.9139952298254589,0.0003855441818234769,0.0003380166757349343,0.03333333333333333,0.04821932532357388,0.004845901838656237,,,-0.2118877567710902,0.05208347484747882,-0.5105888882004124,-0.0051890244314205265,-0.1266227356571617,0.051140129157811035,-0.1328685534397077,0.020003481371165255,-0.07572568947050289,0.1117589211551082,ester,alcohol
cf6aeb50271b4d5b8eaed85e02347194,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.8088000000000002,0.0,0.8121489959508811,0.0004555950490730969,1.1215773879016632e-05,0.03333333333333333,0.04821932532357388,0.0001607924790814163,,,-0.010478343347619093,-0.00021341793854064904,-0.11980691451224078,0.004341593183303949,-0.004231393859448682,0.0026994079484936317,-0.005088909972303268,0.0008282647537248943,-0.03271728037255216,0.04441115996940004,ester,alcohol
5f66e57aaecc4cb6b949d4f6b1063214,298.15,100.0,2,COC=O,0.7271,CO,0.2729,0.9321000000000004,0.0,0.9544556814988758,0.0003788349998296925,0.0004997764952791624,0.03333333333333333,0.04821932532357388,0.007164935966915556,,,-0.3500539718476703,0.09273954979475528,-0.5660809604606545,0.01180155754791973,-0.18108279707596986,0.1296689880287998,-0.2205675706104168,0.04749243975195081,-0.01923042642636651,0.12802282233789372,ester,alcohol
7c03380049384f30a298945bb04129ab,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.9950010000000002,0.0,0.9918840142379074,0.00018388437484521885,9.715600241089543e-06,0.03333333333333333,0.04821932532357388,0.00013928556917962426,-0.010662872313937838,-0.0462101752093816,0.032610176399463876,0.0016154497710933315,0.10255005625419403,0.003127491025361184,0.008272552880269865,-0.016796961737471174,0.01665698780720491,-0.0008110427354741682,0.0003677240835530454,-0.0069213803685360545,ester,alcohol
4ebb87dcc7fb4f1d917d610ec750534f,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.8987460000000002,0.0,0.8946732522620029,0.0002808556217723935,1.6587274137361814e-05,0.03333333333333333,0.04821932532357388,0.00023779981288133033,0.07408110750643178,-0.07005261503168514,0.02912233558913922,0.0028987881055064944,0.19156777905901554,0.01983106679962505,0.010484675553606578,-0.0061798115610157975,0.014842322391587809,0.00044607738148683286,0.011725656807892126,-0.006698705612865159,ester,alcohol
eb5d4aebf7284884a4cecd15514d03d5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.9511160000000002,0.0,0.9482134920745425,0.00021856234250815072,8.424552257344492e-06,0.03333333333333333,0.04821932532357388,0.00012077674329220078,0.09333222923824419,-0.03923838738441736,0.02119790919715987,-0.00145351800079135,0.12371465657452893,0.011793366482521972,0.011637744064299642,-0.004073194593404613,0.012363495149624891,-0.0031334200643543773,0.004630363617869401,-0.0042429388049788856,ester,alcohol
98d2cc7c7cb140ce8b4c508da55b85c9,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.9994170000000002,0.0,0.9986643000788329,0.0002737693277994337,5.665571713253085e-07,0.03333333333333333,0.04821932532357388,8.122322463114624e-06,0.0035962662724390968,-0.012330866842575299,0.009970735093351618,0.0007995366147359473,0.03012165261433469,0.0018314793454470152,0.003318813909965949,-0.0034420682472614933,0.004973872939167358,2.6645991888983505e-05,0.0005945599844950988,-0.0009046555427045644,ester,alcohol
