,Iteration,Objective Function
0,0,0.5979468239310747
1,1,0.5619728541622702
2,2,0.5977607219333241
3,3,0.5292875215767624
4,4,0.4962978850423969
5,5,0.6239679089838789
6,6,0.49407100917368474
7,7,0.47295724322977517
8,8,0.5393672079930756
9,9,0.41598982744996754
