Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
6b2d2f277d7b470da67f79b461d1a009,298.16,101.325,1,O=C1CCCC1,1.0,42.63,0.0,42.03110436393457,0.1651101616600639,0.3586759828982227,0.03571428571428571,25.6831695776047,1.9419901696871956e-05,0.03826740800619201,-0.0019204218283074628,0.004817514636449989,0.0007692998725124251,0.01781980340288769,0.0028405701244248686,0.0024577234936587655,0.00013922237614090338,,,,,ketone
e8e70fcf04ee463a9671f8e8beb0cdba,298.15,101.325,1,CCCC(C)=O,1.0,38.43,0.0,38.722471668851234,0.272793776011415,0.08553967708062633,0.03571428571428571,25.6831695776047,4.631400482031455e-06,-0.02416446458983765,0.0006554982246487199,-0.002043119559295793,-0.00032536138567569595,-0.00799197461690064,-0.0012812926777489202,-0.001015315885216767,-6.156261531457542e-05,,,,,ketone
ccb77d44c1e74368bbfd37152c26ea21,298.16,101.325,1,O=C1CCCCC1,1.0,44.89,0.0,46.43426534308034,0.27902280993133854,2.3847554498390413,0.03571428571428571,25.6831695776047,0.00012911853208776228,-0.12199890174964476,0.00558453018039813,-0.011357226434216246,-0.0016915067062296466,-0.05480409878604639,-0.008950744631763728,-0.005852384794584322,0.00028550344230353716,,,,,ketone
306e2ef66008434a91f82d02cf6e6983,298.16,101.325,1,O=C1CCCCCC1,1.0,49.54,0.0,51.73273594661242,0.31455759726839294,4.808090931566278,0.03571428571428571,25.6831695776047,0.0002603259144539207,-0.20543200490756605,0.010213707351229662,-0.0171965303996827,-0.0029932772039958713,-0.09464518412124066,-0.016008503223008248,-0.00854724022784095,0.00036758597009358784,,,,,ketone
