Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
f4c8e2bf89ee42359a7d893a71860c17,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.14754361769544033,0.0,0.2074400616687841,0.03051332235837076,0.003587584000651908,0.03333333333333333,0.392061173213643,0.0007779884571096123,0.09114012398396723,-0.33549311752031197,0.14770288099393497,-0.01205423364862746,0.44939338616640556,-0.15414469628947267,0.002403583698888353,-0.10863216551331457,0.02730412335187121,-0.113674978983066,-0.06635463207296424,-0.14288848325112335,ester,alcohol
6299627dbf614f87b5e6c08a35fced77,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.1290521345820288,0.0,0.08158625086528135,0.03379365284282056,0.002253010117011791,0.03333333333333333,0.392061173213643,0.0004885783481217003,0.9292927245162897,0.034731888048854055,0.11277423468833496,0.060445555148010865,0.21295656790117135,0.0397745072515198,0.04421940827977269,0.046337168027643316,0.02067878108877722,-0.021300471788279814,0.022350816332117128,0.021935068788388974,ester,alcohol
d3b9e184b5734c22b917c243533420e3,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.1532840380393452,0.0,0.15817984552968442,0.03660968965460467,2.396893098246157e-05,0.03333333333333333,0.392061173213643,5.197802094731042e-06,0.3493584426588735,-0.1787466150898262,0.00518213126644679,0.006069104245053608,0.015149539951128914,-0.006096157895522659,-0.005782122244890977,-0.011003383843940383,0.0005050883722024238,-0.005835857402909435,-0.009791479604527272,-0.08541811249457977,ester,alcohol
0d43137e19fe4d629b4a99580b58e58b,298.15,100.0,2,COC=O,0.4946,CO,0.5054,-0.07981547524274646,0.0,-0.2522824914328743,0.023515292917035555,0.029744871673525814,0.03333333333333333,0.392061173213643,0.006450348428358675,,,-0.44742119930915464,-0.15768822760352183,0.25310054036367075,0.36575500104559794,-0.09454249468956367,-0.08259514537397653,-0.239195050800644,-0.07720393291323177,0.4677000745585644,0.6732355533859954,ester,alcohol
5bf74d7c4d374c42af5a72a080e351cd,298.15,100.0,2,COC=O,0.0833,CO,0.9167,-0.016017622078813076,0.0,-0.10513992463119969,0.027427727636907814,0.007942784812239137,0.03333333333333333,0.392061173213643,0.0017224390843823348,,,-0.2005400776055871,0.03101111610394666,-0.22572334624372617,0.3327384648804498,0.03581557101499828,0.2002006246882125,-0.03380721547902946,0.006912956726851248,0.16619473885286762,1.688185631816009,ester,alcohol
b0d78020705b4b42a329b9f75c42b7ca,298.15,100.0,2,COC=O,0.7271,CO,0.2729,-0.0779704053850363,0.0,-0.14002122567246364,0.02273647086466,0.0038503042983426042,0.03333333333333333,0.392061173213643,0.0008349608817314807,,,-0.04233120618517891,-0.010278871369881192,0.044056531094377835,0.06720451973609368,-0.5903166497155627,-0.11347666476774786,-0.02131803684987299,0.01497729036186344,-0.17825723551142866,0.44020158734499576,ester,alcohol
248f4303204744bba35f5325cf680ceb,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.3391505413382205,0.0,0.07409138167137175,0.035200699201826724,0.070256358123296,0.03333333333333333,0.392061173213643,0.015235499893117843,4.516312752869268,0.8978507032728291,-0.6703644866704364,0.12279860912460826,-1.160402725261357,0.332438804734588,0.2746872979666992,1.4894000938239618,-0.9424113734607124,-0.4540502878843598,-0.007776918858637766,0.022674033285049515,ester,alcohol
f9589fe620514e9caabc2ca0174b20ed,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.3889953391056479,0.0,0.14352456584106765,0.033534913523285866,0.06025590052711095,0.03333333333333333,0.392061173213643,0.013066842497435307,5.518270943753733,4.284501586797458,-0.01934470009578625,0.22437592678162427,-9.152145765430264,-2.1241233323673883,0.09646848684238747,2.3825065197317477,-1.7879828386166305,0.289353287057024,0.5819728628285434,3.8101334208406463,ester,alcohol
5fc422634cd34ed7b62a6a55fd08ab24,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.4223704434297204,0.0,0.19734553541276287,0.03928401344445956,0.0506362092280402,0.03333333333333333,0.392061173213643,0.010980756487943995,2.1404698697076263,12.736600213116718,-0.5689138821101982,0.2790877826614869,-19.451311377609876,0.39565642997085826,-1.3694039695975535,0.669587234325986,-0.41127567346266514,0.5096584925300772,0.031173214272432113,2.0932466658306343,ester,alcohol
4b67b5b0f7ae450dabbeb794b3743567,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.3168067282716436,0.0,0.11580773453692247,0.0368889701234177,0.040400595482370454,0.03333333333333333,0.392061173213643,0.008761104113500204,-6.009306348489707,6.326569414554407,-0.5425863032782952,-0.822251225780558,-15.522465549074198,0.0350522486010541,-0.06530872843094203,0.1811278901015282,-3.335236498738207,0.04565669425508648,0.23363839475888604,0.15229435820232665,ester,alcohol
df98d0f37a1f4268b46040b4d8892204,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CC(C)O,0.5001,0.3721489531952287,0.0,0.19749417580873177,0.03851053581357173,0.03050429126392681,0.03333333333333333,0.392061173213643,0.006615032983571186,-5.7038831067176154,3.893455652798824,-4.380743349476442,-0.06536878716924384,-8.605894025346029,0.3671547993304181,-0.46610691997073883,1.485783583093361,-0.36795248225106536,0.029893278966640995,-0.4081606030954282,0.28135535314157745,ester,alcohol
1786c7a811fb4e20a27ca9bee9ae7684,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2,CC(C)O,0.8,0.26624539407202263,0.0,0.1483770521312035,0.03786071224260996,0.013892946031877863,0.03333333333333333,0.392061173213643,0.003012766152955226,-9.99927929404757,5.0061321604349285,-0.20570807997315152,0.016303779530778023,-15.099999992738171,0.2469040069928544,-0.3137917536867082,0.6758249761722159,-0.08165428143715975,0.18724572795251598,-0.4984202036251033,0.31872400593072714,ester,alcohol
ba79de4bf49f4fe1ba2ea5257bc5035d,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8339999999999999,0.0,0.3188915496190613,0.02910485460647247,0.26533671565385186,0.03333333333333333,0.392061173213643,0.05753981007512615,5.701824362405005,-1.3727500832889785,-0.5726261567308909,-0.07330513647513649,3.1958407498110284,0.07066176970867495,0.06533438873270261,0.5026739680476953,-0.2991804631578425,-0.3205257105241021,0.48578222586707603,0.23971932478273159,alcohol,ester
aea8651e173943c1960599fde88d813b,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,1.0679999999999998,0.0,0.5912772804783323,0.0370981551690196,0.22726455130813453,0.03333333333333333,0.392061173213643,0.049283639796530346,1.318788620252932,-2.235358750140885,-0.3609038076266713,0.1446985879352829,-36.92258284763199,0.21300255960850872,-3.3590608148145953,0.8537591927916844,-4.649828133091953,0.5726818508506388,1.253527851099955,6.448583418307988,alcohol,ester
9f75ec23ab86466e9e704f1b14b98cc6,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8669999999999999,0.0,0.43931991484741456,0.055355840762138654,0.18291025523612264,0.03333333333333333,0.392061173213643,0.039665152714143656,-52.991179871924196,-4.277705094727717,-0.4714083408112651,-0.20901988507430938,2.175770270798979,-0.7582335817025759,-1.2212641847502275,1.2348580354356098,-0.24507754804743176,0.4343354564601677,-0.992204187861303,9.61581355626494,alcohol,ester
1fa76e84d8a6483d8991179a87acefe7,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.6639999999999999,0.0,0.6128817068023302,0.037551113165891783,0.0026130798994429237,0.03333333333333333,0.392061173213643,0.0005666615747261471,0.3863369891485329,0.39748079183787327,-0.09026899716342955,0.020013771633072955,-0.7963163951091048,-0.12239022687336049,-0.06777880672797595,-0.01017292827610903,-0.0484897308998309,0.03175706952080141,0.05447960690304744,0.17122626942938582,alcohol,ester
0f9ee64978b24b13b9ea3be59a8a976f,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.4619999999999999,0.0,0.4020072727761,0.03877096864696168,0.0035991273197612627,0.03333333333333333,0.392061173213643,0.0007804916929982155,0.8895812088236613,1.1776992187747322,-1.6567803752190853,0.017468458920745916,-0.28310163952241385,-0.2827122799021832,0.059680174307554075,0.25312847932342486,-0.8412060158893205,0.09731439071496117,-0.0647457076299532,0.08487274602717719,alcohol,ester
ed280fd718274af7afcb57fa4bac5596,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.539,0.0,0.3354764874581363,0.05869842213074562,0.041421820157378164,0.03333333333333333,0.392061173213643,0.008982562624054146,-11.705384297145761,3.367964727992933,-1.5728462805065029,-0.0532491227642174,-1.61930384729578,-0.702204136152901,0.086470055793822,0.152049968233786,0.09388385570554196,-0.006060180152097285,-0.2223957265853457,2.1325089278421965,alcohol,ester
aad9bc4911e94ac5a09149c6679e3ced,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2001,CCO,0.7999,-0.0036212708440857,0.0,-0.1504920321092412,0.03299961840066511,0.021571020514606302,0.03333333333333333,0.392061173213643,0.004677801262740845,-7.643704433665778,0.44246551579333004,-0.3655541509750035,-0.20326602433587038,-14.775099050660138,0.39860001593959904,-0.05291044683339404,0.221915802132638,-0.890493229568384,0.08013006568049506,-1.27665962434829,0.23766923831201253,ester,alcohol
64d70fa7022d441da678fd90df8d1606,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CCO,0.5001,0.05737387812808593,0.0,-0.1543400474047152,0.0342680861933373,0.04482278626450847,0.03333333333333333,0.392061173213643,0.009720081905522563,-2.920492517787942,3.527815164377661,-0.250186217627951,-0.4238685509893665,-9.804399002409095,0.1999439016387473,-0.07101726973234876,3.0237815227245144,-2.5339701764500915,0.5210350008076681,0.21174633357526731,1.7631569632032036,ester,alcohol
faa57ed4b9144f9986295f8d5279843c,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7497,CCO,0.2503,0.07288933102296014,0.0,-0.07961702302128854,0.03510281856099436,0.02325818802386972,0.03333333333333333,0.392061173213643,0.00504367335024564,2.445202739736531,1.995508032963946,-5.89563146034786,-0.16680863953203753,-4.468301506795145,0.07097580989317222,-0.25120366107678743,2.7706599992313192,-3.0499385324837527,-0.4329706815161234,0.03446202622245594,-0.23266652995988826,ester,alcohol
c9bfc1d4c1ca48008e71f805627e73c0,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,0.3974578198463092,0.0,0.141006713863415,0.03379067708389411,0.06576716975984961,0.03333333333333333,0.392061173213643,0.014261993285908802,6.527165525033981,1.0300972556420809,-5.887632082301786,-0.3274801849674589,0.7657578259961894,1.6690339850833966,-1.509589476089533,3.360804716000633,-0.3860653147339555,0.37982420894309915,0.3208633656700056,0.4655319671468539,ester,alcohol
c58edda3f5f049b89a095530bc616406,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7998,CCCCO,0.2002,0.2454377035134918,0.0,0.011067634705531668,0.046371942926544805,0.05492932915304797,0.03333333333333333,0.392061173213643,0.01191174451387911,-6.452059355518339,2.4904985536203994,-0.6569418262987873,-0.07458280889933543,-22.68558302322531,0.10060183979660553,-2.461488456501975,4.8982481971641425,-0.27373829355987855,0.8170104207166864,0.14577043951096003,0.6382366109184072,ester,alcohol
07ebc3a0a7924bd1bb01facd4c1f3765,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2002,CCCCO,0.7998,0.2869031980959562,0.0,0.21459473656727576,0.03583756344425788,0.0052285136086446605,0.03333333333333333,0.392061173213643,0.0011338335867890244,0.1914299936652143,-0.06426678773144336,-0.16283792389984084,-0.06171216949810321,-8.827091460007413,-0.05614342674822559,-0.20421796349581905,0.3289841635221737,-0.4329137696148126,-0.0915788819900855,-0.08651456222050753,0.31894802556141644,ester,alcohol
02d8871d5c254eedb29373806cebc29b,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2501,CO,0.7499,-0.2108498144115778,0.0,-0.5782843864819612,0.028842688367686414,0.1350081647525458,0.03333333333333333,0.392061173213643,0.029277305778470222,-5.923407278962883,1.0589024003887935,-0.44944784862035164,-0.21650158219657564,-11.028733439905228,0.2702528559207598,-0.27124188066936705,2.8118446017667793,-0.6021154262897419,0.20607039084485376,1.8639926911264628,1.7325326607442966,ester,alcohol
692fa421fc474af8a160fc36fe0b5a7a,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5004,CO,0.4996,-0.194141892914832,0.0,-0.4531317959597889,0.02881578117553281,0.0670757698792362,0.03333333333333333,0.392061173213643,0.01454577083304638,1.5271287971923297,6.974784643086146,-0.7411453786225054,-0.6322608920148355,-22.04190664673091,0.4196439403885684,0.02364684277768916,4.088240644708051,-3.2942966507610887,0.1929365498265571,0.9388741187882255,0.6518817972178993,ester,alcohol
8e8b9db2d88c497ab95cd4e67d5ac447,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7978,CO,0.2022,-0.08519257781293453,0.0,-0.1579658669308007,0.03360861696337835,0.005295951609032538,0.03333333333333333,0.392061173213643,0.0011484579094147216,-1.0911094507596861,0.7225912285134888,-0.26702822527099745,-0.2826237413624374,-0.8666890267451529,-0.12298539655535451,-0.11793648309563554,1.6407860641260563,-1.3851643639251463,0.33184787400620164,-0.19084029454954188,0.2942373210877535,ester,alcohol
010bf4c6b731419cab8fca1e177d8ab1,298.15,101.3,2,CC(=O)O,0.7031,CCO,0.2969,-0.4374756241071118,0.0,-0.18017252993535052,0.021963567182384337,0.06620488227036228,0.03333333333333333,0.392061173213643,0.014356913789693367,6.031846524777455,0.6545393800705236,-0.09333328293041754,0.10762965091864563,5.771812941432686,-0.016215650385268357,0.47474806468063013,1.0231965843693622,,,0.9458055582737459,0.749226715699063,ester,alcohol
95b301edb2544d20b25fb8781037e692,298.15,101.3,2,CC(=O)O,0.4961,CCO,0.5039,-0.4691196354165861,0.0,-0.24997652436115628,0.024442889313484692,0.04802370312305244,0.03333333333333333,0.392061173213643,0.010414219343882826,8.00599845391658,-2.363139943794486,3.186873218562445,0.021677004842945352,11.987348164821555,-0.08581360708886983,0.21595747351604735,0.27377354253951647,,,0.26615462346800706,-1.9214651923677866,ester,alcohol
09a6c8bf67374317bf8b38803003dbf9,298.15,101.3,2,CC(=O)O,0.2971,CCO,0.7029,-0.3709762198426958,0.0,-0.1933395566804295,0.02912834209394267,0.031554784099424464,0.03333333333333333,0.392061173213643,0.006842838464960615,8.228594407957642,-1.233993285717187,0.21694704417362667,0.027212531187093467,12.290984326156492,-0.042617319004025093,0.16470103887315982,0.1481134911707666,,,-0.22691017838805397,-0.43559051954749556,ester,alcohol
