Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
f4c8e2bf89ee42359a7d893a71860c17,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.14754361769544033,0.0,0.19078879215165115,0.030151996051645102,0.0018701451137481085,0.03333333333333333,0.392061173213643,0.000405551845295215,1.067418678860087,0.07083030198875054,0.05253524777054211,0.006146802115073308,0.10780492108435939,-0.040062106252834954,-0.013924333218626168,-0.06659811351822081,0.018787430384208062,-0.0012648394600957695,0.07213252804191564,0.07259239078674595
6299627dbf614f87b5e6c08a35fced77,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.1290521345820288,0.0,0.1475462332717235,0.03182111042034695,0.0003420316863441674,0.03333333333333333,0.392061173213643,7.417156055249009e-05,-0.25951550761086045,-0.006991407552837176,-0.013398383131140073,-0.014981122727165624,-0.07227547637362863,-0.03063166095856255,-0.0012065359772331847,-0.0078108985191186996,0.013055861309198965,0.01966997288361314,-0.0033668867582203558,0.0003585701685954374
d3b9e184b5734c22b917c243533420e3,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.1532840380393452,0.0,0.18151425376635166,0.03233495658810309,0.0007969450799933228,0.03333333333333333,0.392061173213643,0.00017282217589119518,2.5383651352574583,-0.9692669206491408,0.018407087869606757,0.013173653967410218,0.06898392834253202,0.02982763628449558,0.0017585233998751377,0.0035762502482126804,0.027972355730678047,-0.021241373207674465,0.03483585781300607,-0.5489031640505082
0d43137e19fe4d629b4a99580b58e58b,298.15,100.0,2,COC=O,0.4946,CO,0.5054,-0.07981547524274646,0.0,-0.22814621149324485,0.024260487133567207,0.02200200731661492,0.03333333333333333,0.392061173213643,0.004771263257517376,,,-0.4423993841758669,-0.09234345427517134,0.19460322824024723,0.03611922358423723,-0.23285408508482366,-0.16712291867143422,-0.14929859631797704,0.018323802761304114,0.17384816007504966,-0.014005125087380228
5bf74d7c4d374c42af5a72a080e351cd,298.15,100.0,2,COC=O,0.0833,CO,0.9167,-0.016017622078813076,0.0,-0.10441060738437587,0.03153581625518898,0.00781331985122944,0.03333333333333333,0.392061173213643,0.0016943638545765974,,,-0.23068507340900785,0.01954250880642265,-0.3085655946946147,0.41541802867074445,-0.015435184019438468,0.10174584499553191,-0.03513056351508856,0.00708090807705302,0.23699127470904388,2.070610685296981
b0d78020705b4b42a329b9f75c42b7ca,298.15,100.0,2,COC=O,0.7271,CO,0.2729,-0.0779704053850363,0.0,-0.133488353732729,0.02595994825752618,0.0030822425887370736,0.03333333333333333,0.392061173213643,0.0006684022327040584,,,0.011556821543550245,0.010071538264432722,0.10543638271323504,0.09050420391973522,-0.43090196009300513,0.07888331928392893,0.016921365534611536,0.048721437844731916,-0.17477284795060283,0.3731142328417065
248f4303204744bba35f5325cf680ceb,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.3391505413382205,0.0,0.05529717250139253,0.044811157196852046,0.08057273500001629,0.03333333333333333,0.392061173213643,0.017472666222274863,3.336136370328309,0.48581364112604364,-0.5613675776374135,0.02990827954223028,-1.6201066245129672,-0.48605927102134544,-0.8223655400377524,-0.6348827320037513,-0.32334712915356073,0.16202372843862584,-0.950690805328746,-1.9097364536191088
f9589fe620514e9caabc2ca0174b20ed,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.3889953391056479,0.0,0.2099004317211621,0.03524276455199543,0.03207498585105754,0.03333333333333333,0.392061173213643,0.006955647240466691,0.6842565329877466,2.7610080037891715,-0.11713948879890988,-0.12718167693314944,-6.480300851717763,-1.2503222557521154,-0.18102980235141428,1.8779082364426143,-1.5771288694705607,0.15312800679060634,-1.0745437810702274,4.718729070143447
5fc422634cd34ed7b62a6a55fd08ab24,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.4223704434297204,0.0,0.11029799225265018,0.045963305248208866,0.09738921478366487,0.03333333333333333,0.392061173213643,0.02111941767353521,-3.0822031391933997,17.995459159097585,-0.5126379617677533,-0.4313901203327689,-22.963012371967533,-0.17245522098337432,-1.7335134973192423,-0.42701440071442853,0.1233379425681819,0.012941425973290972,-0.99646909603654,6.442411584396564
4b67b5b0f7ae450dabbeb794b3743567,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.3168067282716436,0.0,0.03855042849225573,0.03570939619506056,0.07742656836691657,0.03333333333333333,0.392061173213643,0.016790401688747507,-7.15294139243233,10.877043150357318,0.7810271740700458,-0.464896219580956,-24.85239156202343,-0.47511225820331904,-0.5869619446542719,-1.6297929337940686,-5.680242457275379,0.6237326544259538,-0.08359819290143441,-0.551741790498734
df98d0f37a1f4268b46040b4d8892204,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CC(C)O,0.5001,0.3721489531952287,0.0,0.15415997737217926,0.04090589633170933,0.04751919358038204,0.03333333333333333,0.392061173213643,0.01030481351516135,-12.524424170536932,5.647854406981447,-6.71922575627952,-0.4166137871975168,-14.489920675686506,0.4658344836271087,-0.3368589697007175,3.7586072640835284,0.041420693452205795,-0.29042005831370155,-0.6212239894184738,0.26525786471568963
1786c7a811fb4e20a27ca9bee9ae7684,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2,CC(C)O,0.8,0.26624539407202263,0.0,0.1855347269956199,0.04312975671965343,0.00651421177991792,0.03333333333333333,0.392061173213643,0.0014126447132729685,-6.964329089193116,3.0610668621291954,-0.06864610768659579,-0.025628205610435276,-10.358898089754861,-0.15739982910349698,-0.166112364972132,0.6422493816965554,-0.055980107855538024,-0.1026004359957237,-0.5572578562023255,-0.12327370562275637
ba79de4bf49f4fe1ba2ea5257bc5035d,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8339999999999999,0.0,0.37059642527283626,0.025409136352209614,0.21474287306991388,0.03333333333333333,0.392061173213643,0.04656824104037408,5.423730474730784,0.5206395451286555,-1.1609912052119375,-0.42453399768807965,0.6903139446457182,0.8522714407160811,-0.145523195924786,-0.14053897879918184,-0.479306584005872,0.06047500218619272,-0.47441199000733625,-1.1252021580785652
aea8651e173943c1960599fde88d813b,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,1.0679999999999998,0.0,0.6308947793833163,0.03458263100912022,0.19106097389035961,0.03333333333333333,0.392061173213643,0.041432683461574825,-0.07658202733062296,0.6729946672133927,-1.01916050332303,-0.1618656166667152,-33.298682976506946,0.34834888861670527,-3.3000532534238927,-0.6044477119277175,-3.724099341721314,1.032603339901217,-0.8489104178044675,4.919745997312445
9f75ec23ab86466e9e704f1b14b98cc6,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8669999999999999,0.0,0.526300922997849,0.052688271486166456,0.11607586107011751,0.03333333333333333,0.392061173213643,0.02517172560843196,-46.5543791902449,1.254855679910933,-0.6705955542698223,0.16677033635084246,-3.462416567501881,0.4342541037283853,-0.9259604652067258,1.4299529374315094,-0.45963599943433997,0.4238351135458848,-0.6407983019017348,7.755179675388582
1fa76e84d8a6483d8991179a87acefe7,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.6639999999999999,0.0,0.573710727306518,0.0485293832034622,0.00815215276351795,0.03333333333333333,0.392061173213643,0.001767841742369996,-0.1619653467181772,0.7594838942852316,-0.16945518769045895,-0.0788953627848954,-1.2725886621578062,0.06215170437948747,0.04103166376500834,0.10283568546834505,-0.10424562144846422,-0.07007774850028997,-0.12434285112516945,-0.1433454018426983
0f9ee64978b24b13b9ea3be59a8a976f,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.4619999999999999,0.0,0.4200131880747533,0.03756855144641595,0.0017628923756460313,0.03333333333333333,0.392061173213643,0.000382293465220587,-1.940548291242959,0.43241853619159437,-1.2100286456507519,-0.007817157675830123,-0.07756216428069179,-0.18084549017040122,0.10072817411517708,0.15573167771822274,-0.5795280818956335,-0.03892578893596153,-0.04288575702499312,0.012152759712303613
ed280fd718274af7afcb57fa4bac5596,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.539,0.0,0.5493490137242482,0.05160606156240998,0.00010710208506467603,0.03333333333333333,0.392061173213643,2.3225710087219902e-05,0.334353399924816,-0.22992526186239762,0.10320792297834623,0.004594774527148592,0.06413692920742685,0.013804366033370616,-0.005444281609009038,-0.010167372037881763,0.0015566579374094317,-0.010527709571489815,0.04001613028093283,0.002203147671462708
aad9bc4911e94ac5a09149c6679e3ced,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2001,CCO,0.7999,-0.0036212708440857,0.0,-0.15210824945852694,0.030944649850133007,0.02204838281804553,0.03333333333333333,0.392061173213643,0.0047813200547377685,-6.999691024689291,-0.14137944491994928,-0.14535770569388617,-0.18264107699080503,-14.08026803939573,0.25429594222770063,-0.05094068701515341,-0.11731114633073839,-0.8999087685043864,0.11420184891583131,-1.0625369785753869,-0.16604217514723918
64d70fa7022d441da678fd90df8d1606,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CCO,0.5001,0.05737387812808593,0.0,-0.14010913993088672,0.0324725206047754,0.038999542421680515,0.03333333333333333,0.392061173213643,0.008457277608304288,1.3841124957337754,3.466129915876917,-0.5730899861230118,-0.6039494575711312,-9.06425535832739,-0.18129527965750072,-0.5722922547767997,3.296175135343878,-3.227531934934624,-0.14865973459386864,-0.25687177041267734,1.440253817489033
faa57ed4b9144f9986295f8d5279843c,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7497,CCO,0.2503,0.07288933102296014,0.0,-0.11345309382461097,0.0412555519764785,0.03472349929807268,0.03333333333333333,0.392061173213643,0.0075299927860770395,8.00767888463032,2.3546250815961227,-7.731802871497619,0.18982742560452306,-3.2838020636108602,1.5064091309566943,-0.26589271716322904,5.423176923407653,-4.227096564806614,0.44106587066423797,0.08851076030498203,0.10972133869500186
c9bfc1d4c1ca48008e71f805627e73c0,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,0.3974578198463092,0.0,0.0579349380527261,0.04108886877566392,0.11527578726141939,0.03333333333333333,0.392061173213643,0.02499822494952342,3.2611356325021483,0.4053052323297602,-10.775211727484729,-0.6772530134940459,-1.5255262540686385,0.4501624457741239,-2.109457955438566,6.550227128373839,-0.34440598749909446,-0.36315905235838525,0.352998355905308,0.5722160372367106
c58edda3f5f049b89a095530bc616406,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7998,CCCCO,0.2002,0.2454377035134918,0.0,-0.026623486281931296,0.041553898513352124,0.07401729099290123,0.03333333333333333,0.392061173213643,0.01605108006071401,-11.594042697192044,0.0791855793246426,0.5328648045339646,-0.05674525595514967,-27.567009518524067,-1.2088801492119674,-1.773557811134498,8.850980353036046,0.43534410721607514,-0.680893976873347,-0.4835475982651637,-0.17394677467540698
07ebc3a0a7924bd1bb01facd4c1f3765,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2002,CCCCO,0.7998,0.2869031980959562,0.0,0.053915710308248196,0.04094728814060816,0.05428316946562738,0.03333333333333333,0.392061173213643,0.011771621027384736,10.686343126170977,0.9256743645227198,-0.04848439009472139,-0.046218658799503765,-30.055773349490654,0.762372639201172,-0.7219634170757533,1.2101331558171349,-1.6212448787321916,0.015189784462557162,-0.853309399032489,1.3388869679041464
02d8871d5c254eedb29373806cebc29b,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2501,CO,0.7499,-0.2108498144115778,0.0,-0.4510962040832797,0.027361045073052457,0.05771832775028724,0.03333333333333333,0.392061173213643,0.012516555081423388,-5.208484572552351,-0.02752674660924013,0.13163238686300577,-0.11749128365647764,-6.82816900251132,0.24496663696018686,-0.3903902660024274,1.7567402847745488,-0.051813510503074194,-0.2606068427339398,0.8110727503263052,-0.6343573827678133
692fa421fc474af8a160fc36fe0b5a7a,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5004,CO,0.4996,-0.194141892914832,0.0,-0.4249067594684281,0.03335372640800498,0.053252423635499015,0.03333333333333333,0.392061173213643,0.011548097798964714,1.617381249954168,6.639418404001464,0.35086148312085375,-0.49482128144960924,-20.40194801063048,-0.43161167776967374,-0.18830042106675718,3.896855444179305,-3.6743924296620247,-0.2942491464782722,0.8431088804178173,-0.05301000364478651
8e8b9db2d88c497ab95cd4e67d5ac447,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7978,CO,0.2022,-0.08519257781293453,0.0,-0.23101039596041723,0.04440604450933447,0.02126283608929233,0.03333333333333333,0.392061173213643,0.004610969677609554,-7.379624337315383,-0.13996988554950127,0.23185804619017736,-0.27173989721328057,0.2532957211045927,-0.060949956588372635,-0.2179508160203738,4.263002970321288,-3.8495738280898713,-0.3752914315396699,-0.38807461961756295,0.7430312468154707
010bf4c6b731419cab8fca1e177d8ab1,298.15,101.3,2,CC(=O)O,0.7031,CCO,0.2969,-0.4374756241071118,0.0,-0.2151398612231468,0.02231697920913229,0.04943319145719472,0.03333333333333333,0.392061173213643,0.010719875087189213,9.930414709373803,1.0384529122134778,0.25688024307163204,0.027089192826758802,5.644405721918548,0.09303494587371153,0.5398946081515278,0.6926647654037286,,,1.027573115330472,1.0860247305499302
95b301edb2544d20b25fb8781037e692,298.15,101.3,2,CC(=O)O,0.4961,CCO,0.5039,-0.4691196354165861,0.0,-0.34446478443775685,0.024835102804377333,0.01553883187255412,0.03333333333333333,0.392061173213643,0.0033696860705191354,3.060126144063491,-1.535380415434524,1.8369411943936238,-0.0543291036224941,6.931439608404511,-0.002079726447303565,0.2533822393087136,0.2913744963577014,,,0.5167899616396824,-1.0590657689963956
09a6c8bf67374317bf8b38803003dbf9,298.15,101.3,2,CC(=O)O,0.2971,CCO,0.7029,-0.3709762198426958,0.0,-0.23146251278226138,0.028210536729658873,0.019464074457744708,0.03333333333333333,0.392061173213643,0.00422089775561932,6.230190481839817,-0.9899155824703731,0.3962935885020103,0.0013518800136691582,10.281629769342612,0.008826166714842808,0.03960639375662952,-0.2471415708340193,,,0.25915794666878994,0.14518059223935958
