Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol)
ba6a749d0c2f4939b6ed3cad0d49e0ae,298.15,101.0,2,CCCCO,0.7447,CCOC(C)=O,0.2553,0.2234967389871585,0.0,0.19478973436849764,0.03723725089380278
91407b69586e4027bb802ff722ed22b1,298.15,101.0,2,CCCCO,0.4963,CCOC(C)=O,0.5037,0.2869639181418435,0.0,0.262590791026561,0.03320533052038881
92b076e6c0c44b439f0694f570c6ad29,298.15,101.0,2,CCCCO,0.2525,CCOC(C)=O,0.7475,0.18903739415884505,0.0,0.21105864011332925,0.03551618244545701
886f153b808d48ea9adbba5b19e9b75e,298.15,101.3,2,CCCCCO,0.7708,CCOCC,0.2292,-1.2165249074509248,0.0,-0.23157849061875466,0.039445722378627264
c25df803586c459a8beb3a1028eb6d6f,298.15,101.3,2,CCCCCO,0.2648,CCOCC,0.7352,-1.628909026628321,0.0,-0.3997695147013959,0.048154693337863416
6ed732d9554e4c3780e082f5e27044f3,298.15,101.3,2,CCCCCO,0.4567,CCOCC,0.5433,-1.938515594697634,0.0,-0.5220513850735733,0.04342141159759887
4922c42f740a4105916f4729ffc01a48,298.15,100.0,2,COC(C)=O,0.2606,CCCC(=O)OC,0.7394,0.07574235631921056,0.0,0.0044603514236488916,0.03398915502617944
74cc637e1bdd4d8fb9766a6fbccc6e59,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.10391545955037174,0.0,0.024260960116551978,0.02963916234156131
7b3cd91db0fb42c39b5174071aec5ad2,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.09894594011771927,0.0,-0.010030195094054766,0.031856759752771024
a7e8a21224464e55b2e0500297a83e6d,298.15,101.0,2,C1CCCCC1,0.7608,CCCCCC,0.2392,-0.010857411288657914,0.0,0.30564507304438693,0.0485721867631336
d6f40dd0af7d43d0966dfb7992034410,298.15,101.0,2,C1CCCCC1,0.4793,CCCCCC,0.5207,-0.7142145480370203,0.0,0.30601558016602515,0.050144435910788016
40ab79f2bd934776b37952225add1dd5,298.15,101.0,2,CCCCCC,0.2457,C1CCCCC1,0.7543,0.16440663986452364,0.0,0.40665287441446973,0.0479615844902626
d55ff1fe546247528564f5f032e61ac6,298.0,101.3,2,CC(=O)OCCC(C)C,0.7499,C=CC(=O)OCC,0.2501,0.04825826535025257,0.0,0.09378930338957572,0.04169237526953192
62dc22a32dac43d6828f878c71695676,298.0,101.3,2,CC(=O)OCCC(C)C,0.2501,C=CC(=O)OCC,0.7499,0.04792052010303394,0.0,0.06075030361424161,0.03589213717694507
0752af5eb78b44499393bbd8076ab2ae,298.0,101.3,2,CC(=O)OCCC(C)C,0.501,C=CC(=O)OCC,0.499,0.0657422357382842,0.0,0.032960727096055825,0.03629820285921363
2e0fc58c77c44fb5ae1da3f032491b9e,298.15,101.0,2,CCO,0.701,CCCO,0.299,-0.0027480299131532604,0.0,0.053173428153103684,0.03494326896368241
8c73a66dc94341ebae9e924dee0c21a4,298.15,101.0,2,CCO,0.5,CCCO,0.5,-0.002405682507159668,0.0,0.05019390971306889,0.03423756843084907
0bc6aaa364b44d8fb23444c245f95ef5,298.15,101.0,2,CCO,0.2,CCCO,0.8,0.03204484850932944,0.0,0.07503967054868146,0.03853625836834387
b78b793d9f9048dea7c7754aa0f3cd57,293.15,101.0,2,CCCCCCO,0.7138,CCCCC(=O)OC,0.2862,0.17326165294784346,0.0,0.3652779775018182,0.048563379848945515
78f03512d4bb4c78941cdaf0f6157737,293.15,101.0,2,CCCCCCO,0.2154,CCCCC(=O)OC,0.7846,0.1515473811217305,0.0,0.2474755080896853,0.04283365474175535
dd1b5ed11147483ab24de02f603386f6,293.15,101.0,2,CCCCCCO,0.4913,CCCCC(=O)OC,0.5087,0.214207181380246,0.0,0.32783560938413364,0.04071227178237258
e1af246b445d43849d049273d571ed6c,291.15,101.0,2,CCCOC(C)=O,0.7697,CCCCC,0.2303,0.01086029502000585,0.0,-0.3828271283108148,0.033351657739173146
062dce9ea415415ca72109c327620444,291.15,101.0,2,CCCOC(C)=O,0.2734,CCCCC,0.7266,0.1927969442912456,0.0,-0.33722701847584785,0.05977872276752519
21079834c8f24610a1adc05564d55b81,298.15,101.0,2,CCCOC(C)=O,0.4881,CCCCC,0.5119,0.09804040619675193,0.0,-0.6486896844350266,0.05225710289693858
8b460136518c4e039d92313dc4bf17b8,298.15,101.0,2,CCOC(C)=O,0.251,CCCCCO,0.7490000000000001,0.2629707635716869,0.0,0.2658536983328939,0.04050884871269524
ba3ae31cadfa4bc39a4306ac310f0a77,298.15,101.0,2,CCOC(C)=O,0.7490000000000001,CCCCCO,0.251,0.2916355155318477,0.0,0.22795527135029311,0.036362448458924584
6ab6964380954e83abd8e377b449257b,298.15,101.0,2,CCOC(C)=O,0.5,CCCCCO,0.5,0.3434680149857812,0.0,0.2900419975627932,0.03536826010500348
4e46a7c8e5ef44baa72fda9c25eb87b9,318.15,101.0,2,CCCCOC=O,0.752,CCCCCCC,0.248,0.5209426425147186,0.0,-0.041829510382945835,0.046984859642059215
99047019f9194897988aa6becf5e9341,308.15,101.0,2,CCCCOC=O,0.2514,CCCCCCC,0.7486,0.6336596776826013,0.0,0.27732618301157674,0.06145377399868447
dac6b284255c47c0b1e877ed79bf2a24,298.15,101.0,2,CCCCOC=O,0.5012,CCCCCCC,0.4988,0.7065657359560191,0.0,0.18062219467592566,0.04567719288936374
1a722cefc65d44d99c2ab37528b4e7cc,293.15,101.0,2,CCO,0.7946,CCCCOC(C)=O,0.2054,1.5323973414238203,0.0,0.13578313643389983,0.030604534966678382
1c918846364647f3a32d41ac65c1fb95,313.15,101.0,2,CCO,0.4912,CCCCOC(C)=O,0.5088,2.0635781990000623,0.0,0.26221194066219605,0.038152931836169586
000f1d2f287b43ecb17adb6bce3fcb50,303.15,101.0,2,CCCCO,0.7257,CCC(C)=O,0.2743,-0.03425233158913698,0.0,0.09752007724827359,0.037835292964146984
5afe3ae926ba4a29a04a8f9902078c49,298.15,101.0,2,CCC(C)=O,0.5002,CCCCO,0.4998,0.004982793368547789,0.0,0.15541812837641042,0.03551224735667629
ae8074b8d21842a0a99fbd586c9ef6c9,298.15,101.3,2,CC(=O)O,0.4937,COC(C)=O,0.5063,-0.21111803561814926,0.0,-0.2517096975549281,0.026401644100376414
eb1a5e7d44fa4d158c736dece26909f6,298.15,101.3,2,CC(=O)O,0.7943,COC(C)=O,0.2057,-0.12187547756990467,0.0,-0.12445250540274504,0.023097261213745435
d0668c7be95f42b9a83aaef2f3a20052,298.15,101.3,2,CC(=O)O,0.3007,COC(C)=O,0.6993,-0.20718311699945247,0.0,-0.21616049760410747,0.03245066620544078
0edfeaa1810b4df7b3ede4e4fec17129,298.15,101.0,2,C1CCCCC1,0.2003,CCCCO,0.7997,0.2093301905072736,0.0,0.307493957279236,0.04007798175084909
a69a99ac8538448a9027cb0c4bae67d6,298.15,101.0,2,C1CCCCC1,0.7086,CCCCO,0.2914,0.3885854110645717,0.0,0.5454623030429918,0.05032024382422832
d16259d4a4e947c386f30f841264523e,293.15,100.0,2,CCCCO,0.4997,C1CCCCC1,0.5003,0.3912173033297748,0.0,0.5158751941934627,0.04284910822777907
