Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
293d3dc64c474dcabe97a9530d664671,298.15,101.325,1,CCOC(C)=O,1.0,0.8944000000000002,0.0,0.8975396882272966,0.00021593274387976714,9.85764216462347e-06,0.007874015748031496,0.04821932532357388,3.3383131186310454e-05,-0.025331264058846767,0.008950521392294596,-0.02618944790763171,0.0013300190078104049,,,-0.008793211453770034,-0.0003052514587173159,-0.0033092648590838493,0.002410283908916597,-0.004297069813959196,0.0003142818676101307
6bce57dafd0a4f7db22c97be283f7072,298.15,101.325,1,CCCCCC,1.0,0.6549610000000001,0.0,0.637735535189119,0.00021439918119735605,0.00029671663795090525,0.007874015748031496,0.04821932532357388,0.001004837696931597,0.4799071254494118,-0.06471231396874311,0.27742622213936546,0.032176594255582586,,,,,,,,
c9baf2c4d6454369a7a204c872e6f1b0,298.15,101.325,1,C1CCOCC1,1.0,0.8788100000000002,0.0,0.8875918112236324,0.0002291709801579953,7.712020836751242e-05,0.007874015748031496,0.04821932532357388,0.00026116935369063505,-0.05500904563306372,0.025332983433681955,-0.12276766383108915,-0.0022334279817699666,,,,,,,-0.012192813592807111,0.00310565524627308
7d238e2f6d6249d3ba20d952649e4c2e,298.15,101.325,1,CCCOC(C)=O,1.0,0.8820500000000001,0.0,0.8832957284253431,0.0002293544111980831,1.5518393097075119e-06,0.007874015748031496,0.04821932532357388,5.255339399715176e-06,-0.002841820157465842,0.004560912661912279,-0.011206965779638216,0.00015802251633842805,,,-0.003094494245080959,-0.00021994237479022326,-0.0009083548089505567,0.0010859497874084459,-0.0012471220881441886,0.0002766893840705794
efcc795e1d64433d8e9a6c1c9c5a299f,298.15,101.325,1,CCCCOCCCC,1.0,0.7640700000000002,0.0,0.7671252965901506,0.0001595517514868141,9.334837253784405e-06,0.007874015748031496,0.04821932532357388,3.161264036995462e-05,-0.02658459303433017,0.01023862427181719,-0.03671083982557595,-0.0019082060250035972,,,,,,,-0.00258704387911469,-0.00047203359186709175
98dfde7944bf44bea8000f1e4d6ea8e4,298.15,101.325,1,CC(C)CC(C)(C)C,1.0,0.6877900000000001,0.0,0.7038489580286662,0.00017504819684579517,0.0002578901329664588,0.007874015748031496,0.04821932532357388,0.0008733508476672508,-0.13506357508320388,0.08191165530759127,-0.20243246324404268,-0.006596871999682592,,,,,,,,
6592c1fb6333488eb660fc3dafe00290,298.15,101.325,1,CC1CCCCC1,1.0,0.7667000000000003,0.0,0.7633546712891188,0.00021816986229818697,1.1191224183847715e-05,0.007874015748031496,0.04821932532357388,3.7899337268048265e-05,0.041280730358137924,-0.017657820277704635,0.0566334324768707,0.005638483242074118,,,,,,,,
5b239b41217b4d08847e93517e72377b,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7960462329619996,0.00027711268233251193,1.277181084189964e-05,0.007874015748031496,0.04821932532357388,4.325203022199209e-05,0.03445067544540879,-0.011270791631673145,0.04273752196717695,0.0010131581819972676,0.002082149362041224,-0.006647007889043515,,,,,,
87ff75ca440e4c8c8fe9335cb745f360,298.15,101.325,1,CCCCCCC,1.0,0.6796000000000002,0.0,0.666857599003055,0.00021708655032976165,0.00016236878316695094,0.007874015748031496,0.04821932532357388,0.0005498656066535117,0.19755638144646984,-0.05549738386099717,0.17328753882884068,0.01155876954760445,,,,,,,,
34ae4b32490945aa8994d7ced26dbf30,298.15,101.325,1,COC(C)(C)C,1.0,0.7352700000000002,0.0,0.7467499328646723,0.0002484016390015345,0.00013178885857737817,0.007874015748031496,0.04821932532357388,0.000446305990957096,-0.18439789381056965,0.04074315874046174,-0.16060083270039927,-0.0013227685794505294,,,,,,,-0.01627476859144804,0.0006000850914134814
0b24264e4f7041f1b0599746a6bcbe94,298.15,101.325,1,O=C1CCCCCC1,1.0,0.9476200000000002,0.0,0.9215401978776275,0.00021395321404246086,0.000680156078742116,0.007874015748031496,0.04821932532357388,0.0023033641538845458,-0.02446072954980909,-0.1124201003517526,0.25706673270013725,0.007995632798002063,,,0.04490391296014337,0.0024728362927858524,0.01328992794238519,-0.02390903429886187,,
82773b4722534a03929a3d1cb6d464c5,298.15,101.325,1,COC=O,1.0,0.9668300000000004,0.0,0.9940290326982381,0.0005061870138414682,0.0007397873797198006,0.007874015748031496,0.04821932532357388,0.0025053069217497092,,,-0.19923450101779971,-0.014043892438846826,,,-0.11101919323036907,0.04377968880534481,-0.11175395204652275,-0.026909059336769858,-0.07178102309188679,0.028703273507283793
2c5bfd43a3594e59924cefca8964d47d,298.15,101.325,1,CC(C)OC(C)C,1.0,0.7184600000000002,0.0,0.7349325065464368,0.00023793321161035938,0.00027134347192239716,0.007874015748031496,0.04821932532357388,0.0009189108884721145,-0.28112830444995573,0.06916790216665049,-0.2545921038281655,-0.01995619611918352,,,,,,,-0.01977572531707549,-0.002212231305838452
7adf507e0d3b42bf93a24110e357fafe,298.15,101.325,1,CCCCCCCCCC,1.0,0.7261500000000002,0.0,0.7219847640158441,0.00018040822047184175,1.734919080370866e-05,0.007874015748031496,0.04821932532357388,5.8753432403443256e-05,0.06242466880751967,-0.018196415227711413,0.06104223339251412,0.006341820741388187,,,,,,,,
d2d579543c0941939a6fe857205bb9dd,298.15,101.325,1,CO,1.0,0.7865600000000001,0.0,0.7777379834598014,0.00047364556509625903,7.782797583554055e-05,0.007874015748031496,0.04821932532357388,0.00026356622444735395,,,0.06799386239762542,-0.012399438603481593,0.018938679714579916,-0.02850621061278232,,,,,,
