Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
2a91772ddfd8435aa11f4c7869c2f137,303.15,101.0,2,CCO,0.2383,CC(C)CC(C)(C)C,0.7617,0.634022,0.0,0.9069883440108555,0.04755951470049947,0.07451062496265272,0.010638297872340425,1.5943650773897426,0.0003118277824574916,0.028522188358818104,0.03547625814737557,-0.052858711213116756,0.0027091129105632082,,,,,,,-0.005406589372358095,-0.015086309082982832,alcohol,alkane
e1ceeaa2f1d848b0901b7830e085f4da,303.15,101.0,2,CCO,0.738,CC(C)CC(C)(C)C,0.262,0.46121,0.0,0.735846280995041,0.03843271251147082,0.07542508683878713,0.010638297872340425,1.5943650773897426,0.0003156548154359405,0.13003637520619357,0.009214096968154098,0.015933511699522295,-0.003770282143682776,,,,,,,-0.0013537059967064168,-0.01729224385529673,alcohol,alkane
c38755b1caf941ca925333aab420ed17,303.15,101.0,2,CCO,0.4842,CC(C)CC(C)(C)C,0.5158,0.6389729999999999,0.0,0.9170702959125236,0.04046596868637725,0.07733810599385779,0.010638297872340425,1.5943650773897426,0.00032366082157564744,-0.0721353912312142,0.02418915874701713,-0.05696501629063164,-0.0036175338976851927,,,,,,,-0.017892593392086428,-0.036990438932650124,alcohol,alkane
9b7e919903724d77bc8df6a3ab20f0b9,298.15,101.3,2,CCCCO,0.2499,CCCCCCC,0.7501,0.5981,0.0,0.8608264670022123,0.04543968609072135,0.06902519646346458,0.010638297872340425,1.5943650773897426,0.00028887120404215384,-0.3016732293374068,-0.03995096766636418,0.017917298987596423,-0.0014044046280231146,,,,,,,-0.005599850382262309,-0.017400467369352156,alcohol,alkane
9f4895b5bfbd4578a5466bddd4599c4a,313.15,101.3,2,CCCCO,0.7501,CCCCCCC,0.2499,0.4805,0.0,0.6719384541343771,0.04672453570695383,0.03664868172136002,0.010638297872340425,1.5943650773897426,0.000153375134846745,-0.05309382853076237,-0.00032534394044193696,-0.010579880090039118,0.0015826507229025496,,,,,,,-0.0007816074121730471,0.0015449300272061012,alcohol,alkane
5b389a74832b49158c5054bd7e362f1f,298.15,101.3,2,CCCCO,0.4999,CCCCCCC,0.5001,0.5751,0.0,0.7061772102862705,0.049568622066881965,0.01718123505643118,0.010638297872340425,1.5943650773897426,7.190365709874607e-05,-0.004921073043522451,0.006419635221008579,-0.0025342633872388913,0.0035510086025640694,,,,,,,-0.010795004537367384,-0.024917328136798388,alcohol,alkane
b15a75a66222403e94d7f85fa76c7859,313.15,100.0,2,CCCO,0.2497,C1CCCCC1,0.7503,0.7909999999999999,0.0,1.0621678393866318,0.04433257896801518,0.0735319971176142,0.010638297872340425,1.5943650773897426,0.0003077322141956166,0.03714245273798678,0.018056103495932396,-0.04667161724751029,-0.017410187693735164,,,,,,,-0.010492983289506824,-0.0311846733005557,alcohol,alkane
dde14e9668404ad48eb2435540be71e4,298.15,100.0,2,CCCO,0.5002,C1CCCCC1,0.4998,0.599,0.0,0.8342679300561642,0.04209878342188576,0.05535099891291217,0.010638297872340425,1.5943650773897426,0.0002316445373592253,-0.14291633537754336,-0.023492503808299703,0.014245855027119524,-0.007332081642128691,,,,,,,-0.005292414677282639,-0.018491916629350753,alcohol,alkane
78d40e452cd84423ae427ead4012621b,298.15,100.0,2,CCCO,0.7501,C1CCCCC1,0.2499,0.378,0.0,0.5097162970417415,0.03922890610584994,0.017349182906388275,0.010638297872340425,1.5943650773897426,7.260652069231914e-05,-0.04010991319095842,-0.005961020772129382,-0.0016770605748159958,-0.005381694452507376,,,,,,,0.005667690373311043,0.006846367417543415,alcohol,alkane
2104fff10ef14306a59b52b52e75e33b,298.15,100.0,2,CCCO,0.7496,CC1CCCCC1,0.2504,0.321,0.0,0.40021245394785154,0.04333633150744783,0.006274612860440501,0.010638297872340425,1.5943650773897426,2.6259323620371377e-05,0.02503421073271598,-0.0029517855270277185,0.01805328151056329,0.0017979928834099025,,,,,,,-0.004527138820380336,-0.01269692991143599,alcohol,alkane
