Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
75585ebb5d9f43cc95b0b69c6e4b237a,298.15,101.325,1,CCCCOC(C)=O,1.0,0.8763500000000002,0.0,0.8652418649675948,0.00022421473697659998,0.00012339066389815156,0.08333333333333333,0.04821932532357388,0.004422407886807617,1.0541052830202544,-0.47517326473924376,0.2953204255736404,0.007893607937839827,1.278434236436722,0.1360739960802494,0.1012312159688231,-0.08916947430806496,0.1370554104655776,0.012643884713693739,,
97fb93dfbce14167a7a19133588d6e43,298.15,101.325,1,CC(C)O,1.0,0.7809870000000001,0.0,0.784825217774533,0.0004042052831666451,1.4731915684739976e-05,0.08333333333333333,0.04821932532357388,0.0005280021847175982,-0.20786473591772142,0.20323866840480292,,,-0.4895369183587101,-0.05354087500897511,,,,,-0.026122801300490935,0.08487564097981001
02d887c4ffb54e50b7fe7f982ab08eeb,298.15,101.325,1,CC(C)CO,1.0,0.7978300000000003,0.0,0.7942457269291429,0.00026045614967998434,1.2847013446473551e-05,0.08333333333333333,0.04821932532357388,0.00046044596724517043,0.36519736720006907,-0.17790878407150096,,,0.527413641482981,0.06828216952687169,,,,,0.011533734581120935,-0.0855676969161222
c2a74deadf3d41069034352cb0f5003d,298.15,101.325,1,CCCCO,1.0,0.8058400000000002,0.0,0.7869507269864289,0.00029505906559098595,0.00035680463498123486,0.08333333333333333,0.04821932532357388,0.012788128225754394,2.740945199548174,-0.7742933319655373,,,2.6668742430096244,0.3527792687404819,,,,,0.10877884192309248,-0.3693241615243571
f8c4d23162e44ee3bf0d2ef56eba3be2,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,1.0496030000000005,0.0,1.046514687475384,0.0002595794002761605,9.53767424970382e-06,0.08333333333333333,0.04821932532357388,0.00034183693069767126,-0.08533204417701823,-0.11047922838994337,0.10384025766442039,-0.00016634263298002193,0.2437739864907413,0.0015938301858263683,0.023073961575087752,-0.06645926663776165,0.051802162226798634,-0.0013819129594018304,,
311107c65a97481484defee7c3b317e9,298.15,101.325,1,CC(=O)O,1.0,1.0439000000000005,0.0,1.0614230806200282,0.0003176611751328567,0.00030705835441599105,0.08333333333333333,0.04821932532357388,0.011005186659829535,1.818470242834919,0.790023765245025,-0.9156316312302487,0.06547728194819485,-0.7071177011175961,0.12423974084891796,-0.2028867875861155,0.5711599209681355,,,-0.11166146201032756,0.6616603056078354
ef3648732d6e43e4946ceea6e53c4bbe,298.15,101.325,1,CO,1.0,0.7865600000000001,0.0,0.7862542792563866,0.0004617575241849008,9.346517307563355e-08,0.08333333333333333,0.04821932532357388,3.3498573189678146e-06,,,,,0.027278416365336806,-0.0011728153614714827,,,,,0.008709680666058643,-0.010700167113847877
b66593fd22c944d3906a3bfd77ae4298,298.15,101.325,1,CCO,1.0,0.7856450000000001,0.0,0.7807363999646585,0.0003997644872301885,2.409435430695614e-05,0.08333333333333333,0.04821932532357388,0.0008635585476918415,0.5702907421709376,-0.17051916530896297,,,0.6562097106626035,0.04790601076917916,,,,,0.06573754986315816,-0.1613037285597886
005ce160a6ac41e58c3b3e6f967f0b42,298.15,101.325,1,CC(C)(C)O,1.0,0.7802700000000001,0.0,0.7931085877235895,0.0006529206420611539,0.00016482933473629962,0.08333333333333333,0.04821932532357388,0.005907598896758863,-2.082387814687483,0.6963541541323902,,,-1.8859287429175933,-0.28800245467822916,,,,,-0.026641704642905224,0.3782368107630099
07839facaf5b4eeea4274ad95b6ff45d,298.15,101.325,1,COC=O,1.0,0.9668300000000004,0.0,0.9954049296638167,0.00031291249904036615,0.0008165266052920459,0.08333333333333333,0.04821932532357388,0.029264885891305173,,,-1.212802171300866,0.3290406436236363,-1.4234928468102057,0.04892010480731447,-0.7528212293100305,0.26845106661063334,-0.709765744654668,0.16414358275865992,,
cddaabd70d644003a38cd01e47a4ed80,298.15,101.325,1,CCOC(C)=O,1.0,0.8944000000000002,0.0,0.89355473216183,0.0002927805755470087,7.144777182448943e-07,0.08333333333333333,0.04821932532357388,2.5607382246703867e-05,0.03482057754491883,-0.036051832315885955,0.03446271872020153,0.002480687344331814,0.0840425035319818,0.004319737709852632,0.012308298810190818,-0.00714806477112023,0.012736554731675162,-0.0022138338702304915,,
1170fb2d9dff466780cf0db7c2ae946c,298.15,101.325,1,CCCOC(C)=O,1.0,0.8820500000000001,0.0,0.8745983520976908,0.0002487950505501982,5.552705645999125e-05,0.08333333333333333,0.04821932532357388,0.001990128626121735,0.7188804953105273,-0.26497535204459305,0.2223245223406604,0.007690100170186423,0.7534888708581455,0.08086337593284942,0.08555646256584003,-0.04910511654132717,0.10267091845587208,0.013732140124275843,,
