Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Environment 1
5de7210f48ea4d19be2842fc37982dc5,298.15,101.325,1,CCCCO,1.0,52.42,0.0,50.49238143214381,0.2512416704096646,alcohol
09f294796c93430a85ff810dcbcd048f,298.15,101.325,1,CCCO,1.0,47.5,0.0,45.55095764144361,0.23248824862608414,alcohol
a06a99f886784088ba7caed942c5fa6f,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,49.40797872826079,0.22786056116864428,alcohol
a88074bee77848ac8905af045630488d,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,49.65869958310147,0.24793487040434084,alcohol
0a5fb66f38ae4317ac7e1569893b5f4e,298.15,101.325,1,CO,1.0,37.83,0.0,34.20205788119449,0.09102631026743559,alcohol
f5943cdf0562498e9772f6f7c297df93,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,45.42089280556839,0.2234698876954656,alcohol
771f878b50e648fa9c9871eb622b3991,298.15,101.325,1,CCO,1.0,42.46,0.0,39.885744501399195,0.17365796866593236,alcohol
