Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,Environment 1,Environment 2
f17f41c5d44a48d283a58de5ca9553ff,298.15,100.8,2,CC(C)OC(C)C,0.25,CC(C)CC(C)(C)C,0.75,0.6937500000000002,0.0,0.7120847607880971,0.00019210744447492354,0.00033616345315673664,0.007874015748031496,0.04821932532357388,0.0011384252409818649,-0.3538551625072021,0.07398944178456054,-0.25372764162791905,-0.02093248934022792,,,-0.0033147636817714115,0.0009893839957989294,,,,,ether,alkane
d636a845f12947a08dd384a44b1ba54b,298.15,100.8,2,CC(C)OC(C)C,0.5,CC(C)CC(C)(C)C,0.5,0.7007600000000002,0.0,0.7188451697231967,0.00019446084517540113,0.0003270733639168239,0.007874015748031496,0.04821932532357388,0.0011076414453719673,-0.3629483396904074,0.07079758365715047,-0.2659707116381349,-0.02794698172415948,,,-0.010375061969331575,-0.0021961506787449075,,,,,ether,alkane
ef9b17646beb45ff83c4c450473b767d,298.15,100.8,2,CC(C)OC(C)C,0.75,CC(C)CC(C)(C)C,0.25,0.7090800000000002,0.0,0.7268145002607688,0.00014904366402795666,0.00031451249949920206,0.007874015748031496,0.04821932532357388,0.0010651037900519392,-0.24171248931640849,0.07523249565043681,-0.23379260161814006,-0.011871477737652217,,,-0.014281948633060343,-0.002701992488131101,,,,,ether,alkane
74d5c6511c384f3895c2b9c77071cd50,298.15,100.0,2,C1CCOCC1,0.2378,C1CCCCC1,0.7622,0.7952000000000002,0.0,0.7857249224377237,0.00024967031943564424,8.977709481115561e-05,0.007874015748031496,0.04821932532357388,0.0003040321898031806,0.09155201890764753,-0.03966843600347431,0.12749180360859533,0.005493155237633645,,,0.003285124914868944,0.0004662927819171279,,,,,ether,alkane
5330cce2645d46cbaa85dd8a34f5c0e6,298.15,100.0,2,C1CCOCC1,0.4982,C1CCCCC1,0.5018,0.8211500000000002,0.0,0.8179234697453919,0.00021449138165001362,1.0410497483902599e-05,0.007874015748031496,0.04821932532357388,3.5255388399782714e-05,0.04354906359535718,-0.012012672701331226,0.04800813613537729,0.0024565618617812253,,,0.00211378576142495,-0.00023872514955133864,,,,,ether,alkane
912330eaca1847e3b56d680cdf0b2b56,298.15,100.0,2,C1CCOCC1,0.7341,C1CCCCC1,0.2659,0.8470300000000002,0.0,0.8500632171498771,0.00023966859733606907,9.200406278307473e-06,0.007874015748031496,0.04821932532357388,3.1157386789544146e-05,-0.032721746599809115,0.009821148486545717,-0.045953128783859314,-0.003436313335712282,,,-0.003131871514684651,0.0005175275633698701,,,,,ether,alkane
63cf132ba60f4f1b8618fd6cfd3c6249,308.15,101.0,2,C1CCOCC1,0.4964,CCCCCCC,0.5036,0.7476123760634982,0.0,0.7423769371954376,0.000210839302790145,2.7409820141199123e-05,0.007874015748031496,0.04821932532357388,9.28239843043416e-05,0.056159588941192294,-0.020489099765035622,0.0722678709931005,0.0038143057049497913,,,0.00347869237736831,-0.00013433202876844542,,,,,ether,alkane
bc585347bdca4681aec8c3d07beef2b1,308.15,101.0,2,C1CCOCC1,0.7123,CCCCCCC,0.2877,0.7924440593876021,0.0,0.7921933386682759,0.00023962000848279784,6.286087909944304e-08,0.007874015748031496,0.04821932532357388,2.1287980821564578e-07,0.0021769380625040772,-0.001001521474170912,0.0039573874559456716,0.0003095780063835545,,,0.0002430767077885749,-2.9612395538827467e-05,,,,,ether,alkane
875955cc84a447e7aaa39a44f639df41,308.15,101.0,2,C1CCOCC1,0.2613,CCCCCCC,0.7387,0.7074964833700644,0.0,0.6983685538888199,0.00023718646082752497,8.331909661457292e-05,0.007874015748031496,0.04821932532357388,0.00028216203085470846,0.24450341051481372,-0.03315901113604578,0.15499484767285088,0.01717772968295719,,,0.0028271923200555407,-0.00038253866177195747,,,,,ether,alkane
8ac3be195dc545c3b5bbc756eaafd9e5,298.15,101.0,2,COC(C)(C)C,0.7973,CCCCCCCCCC,0.2027,0.7314400000000002,0.0,0.7371223725463287,0.00021383334917900813,3.228935775526817e-05,0.007874015748031496,0.04821932532357388,0.0001093486503024226,-0.05422639013638867,0.024831921997582565,-0.07886041247036721,-0.0032272332963656242,,,-0.004655393855003712,0.001464594198668577,,,,,ether,alkane
