Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
1735edba12c64586acbcf14a2f3a1176,298.15,101.325,1,CC(C)(C)O,1.0,0.7802700000000001,0.0,0.8070387306488267,0.00039410542297497347,0.0007165649405494268,0.03571428571428571,0.04821932532357388,0.011006652753073208,-1.0848661175431504,0.5967352717695669,-1.6389781866642077,-0.033674208968292096,-0.02245499387779518,0.2693808767850217,,,,,,,alcohol
5b239b41217b4d08847e93517e72377b,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7872792109911386,0.000285544227510368,0.0001522950733612392,0.03571428571428571,0.04821932532357388,0.0023392980784207734,0.42932382223484766,-0.16407652927066183,0.6541944044981107,0.013199171770940599,0.05306732304036169,-0.07983371049384587,,,,,,,alcohol
d2d579543c0941939a6fe857205bb9dd,298.15,101.325,1,CO,1.0,0.7865600000000001,0.0,0.7584004600674666,0.0003700926841974176,0.0007929596892119491,0.03571428571428571,0.04821932532357388,0.012180099042591593,,,0.9209854614391453,-0.17228432118119572,0.20341453874139198,-0.5371446553569185,,,,,,,alcohol
aed098f1c67e4feebe2e062c8174c12c,298.15,101.325,1,CCCCO,1.0,0.8058400000000002,0.0,0.7967759440246506,0.0002624328698867413,8.215711072427169e-05,0.03571428571428571,0.04821932532357388,0.0012619579018818474,0.3253698963673394,-0.1262630749428548,0.4871259350493651,0.02199449964280334,0.0277279068243636,-0.04095282997290025,,,,,,,alcohol
49266396132542abb21568348aa20c25,298.15,101.325,1,CCO,1.0,0.7856450000000001,0.0,0.7762293644180616,0.0003124285181845503,8.865419341186798e-05,0.03571428571428571,0.04821932532357388,0.0013617550437787773,0.11686943708765679,-0.10889657579496395,0.41446041143255435,-0.012012069095962443,0.038627105527025474,-0.1089259497447582,,,,,,,alcohol
702eaeaf10ba499da34c62201122ad7f,298.15,101.325,1,CC(C)O,1.0,0.7809870000000001,0.0,0.7917587503748562,0.0002824175601209389,0.00011603060613821285,0.03571428571428571,0.04821932532357388,0.0017822649675166772,-0.4209081327115583,0.17678263122904822,-0.5655422684804894,-0.0012208398535138345,-0.02042328924681789,0.10730965753144796,,,,,,,alcohol
d68f0c46a97444f980b6b9b35ca4ca9a,298.15,101.325,1,CC(C)CO,1.0,0.7978300000000003,0.0,0.8041908571422772,0.0001825817619231442,4.046050358445588e-05,0.03571428571428571,0.04821932532357388,0.0006214854899642717,-0.15367170193228175,0.09548244817113492,-0.3288443441186612,-0.007511322940057074,-0.010455571532871797,0.04974333397734279,,,,,,,alcohol
