Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol)
998312d12caa4baa9a79ec7bc058c651,298.15,101.3,2,OCCO,0.7436,CO,0.2564,0.08238,0.0,0.14034534192308712,0.033579290020207875
05cc390e952348f0a66c483cfb492b28,298.15,101.3,2,OCCO,0.2374,CO,0.7626,0.10027,0.0,0.1786784194540303,0.02896324571051248
b08c347a1e4944f199603887bc7d1ec9,298.15,101.3,2,OCCO,0.5212,CO,0.4788,0.11785,0.0,0.259858108100147,0.03213199367893537
67fd1b1ec5d0464c8b65925b5233886c,298.15,101.0,2,CCCCCCO,0.738,CCCCCC(=O)O,0.262,0.4,0.0,0.28469449818210535,0.05052500377091317
e7a08a269c7743469364b9e6c4751cd9,298.15,101.0,2,CCCCCCO,0.256,CCCCCC(=O)O,0.7440000000000001,0.58,0.0,0.2365360389583966,0.06434867628121024
632d145ba57b4ed98199bd2bf4eb48f2,298.15,101.0,2,CCCCCCO,0.506,CCCCCC(=O)O,0.494,0.624,0.0,0.35610318086911263,0.0555289700576477
7eb5269639a94ecfb54f879d1917ffeb,298.15,101.3,2,CCC(C)(C)O,0.2702,CCCCO,0.7298,-0.6497,0.0,-0.44567664877733293,0.055367551763790504
a9f1bcb8cc6b4606871f73e71a2d1fc1,298.15,101.3,2,CCC(C)(C)O,0.7313,CCCCO,0.2687,-0.6067,0.0,-0.44851257014990953,0.07281374152744807
166c83affdea4afa9ada8e440b859526,298.15,101.3,2,CCC(C)(C)O,0.4609,CCCCO,0.5391,-0.8,0.0,-0.5793597513658568,0.05103731218886219
4c3a0a78881a4c47ad6fa85f7b486927,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.499,CCCO,0.501,2.025,0.0,1.7690149570991593,0.049760449261929574
d56eb7a3f0bc487586ee6638ef4cb7d4,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.2491,CCCO,0.7509,1.588,0.0,1.41909179374575,0.04269256821582553
7f3ec727838f45b59cf328a6527ee5a6,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.7487,CCCO,0.2513,1.6219999999999999,0.0,1.3104477451816479,0.06246788979470011
fe6cfcaeaac040c78ba9e911ce8b1b44,298.15,100.0,2,COC(C)=O,0.4945,CCCCC(=O)OC,0.5055,0.23800000000000002,0.0,0.09638092961770894,0.04101970068753973
