Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
850ee950e05e423b96f5e662a46770b0,298.15,101.325,1,CCOC(=O)CC,1.0,0.8840200000000001,0.0,0.8925823183153456,0.0002715638213832499
86817a6743f64232a8cc18ca6c7d8564,298.15,101.325,1,CCOC(=O)CC,1.0,0.8840200000000001,0.0,0.8925823183153456,0.0002715638213832499
efaa7c69b4b74e93b73544d921a61508,298.15,101.325,1,CC(=O)OCC(C)C,1.0,0.8661200000000002,0.0,0.8880745789150886,0.00022118910951985317
7fd8a511dc49492d8c73d830a95080f7,298.15,101.325,1,CC(=O)OCC(C)C,1.0,0.8661200000000002,0.0,0.8880745789150886,0.00022118910951985317
bc09e191cba74567a3c40832ec158241,298.15,101.325,1,CCC(C)(C)O,1.0,0.8042100000000002,0.0,0.8198674786545141,0.00038907143713945756
c070a35519e94a759b1144dbb5b2c9f9,298.15,101.325,1,CCC(C)(C)O,1.0,0.8042100000000002,0.0,0.8198674786545141,0.00038907143713945756
c332f7ee4a6742688a6b713442908fd6,298.15,101.325,1,OCCO,1.0,1.1098800000000004,0.0,1.1137857463715213,0.0003119293210162112
2378b095b5d54af9b29840f1acf98337,298.15,101.325,1,OCCO,1.0,1.1098800000000004,0.0,1.1137857463715213,0.0003119293210162112
6b280aa30426453980a08d19c6a3ca5a,298.15,101.325,1,COCCO,1.0,0.9601000000000004,0.0,0.9814286739413022,0.0002571646887171913
b3a10cba9c7d4253b82bfe2083cdd6e2,298.15,101.325,1,COCCO,1.0,0.9601000000000004,0.0,0.9814286739413022,0.0002571646887171913
01152e926b654961be648011c7418d27,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7955416175041524,0.000282493189562655
ed5a56997e314486ab8ed36415cfa3d4,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7955416175041524,0.000282493189562655
9c479eb2beb84f2cb587e9be76ec1e0e,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0779931086737635,0.0002557337018575547
718eb7740e6c4fb988a29a0bfe34fdbf,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0779931086737635,0.0002557337018575547
c99be95d6028442c99abf3c90f131d13,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0779931086737635,0.0002557337018575547
ac8d7737a16b4edbb765dcb0056841e9,298.15,101.325,1,CCC(=O)OC,1.0,0.9101800000000002,0.0,0.9179631077832717,0.0002612291782007665
419b807ca4cf472093cdf040262225c2,298.15,101.325,1,CCC(=O)OC,1.0,0.9101800000000002,0.0,0.9179631077832717,0.0002612291782007665
58324f6540d3468dae47d366b34c8d4b,298.15,101.325,1,O=CO,1.0,1.2112900000000002,0.0,1.2933068654278097,0.0003874938437500578
5db5381a899545b58870436b57a71edf,298.15,101.325,1,O=CO,1.0,1.2112900000000002,0.0,1.2933068654278097,0.0003874938437500578
0313221625874bfe88df5a379e286e75,298.15,101.325,1,CCCOC=O,1.0,0.8998600000000002,0.0,0.9394077918518886,0.00023904044537157788
7cbf3fe9c86b4df1ab68c3c768794956,298.15,101.325,1,CCCOC=O,1.0,0.8998600000000002,0.0,0.9394077918518886,0.00023904044537157788
fc77720a29104bb99b69a121b3351409,298.15,101.325,1,CCCCCCO,1.0,0.8152800000000001,0.0,0.8171011920281666,0.000232648186099618
3b0d16b048bd4d1ba3f71ea47b53f5b1,298.15,101.325,1,CCCCCCO,1.0,0.8152800000000001,0.0,0.8171011920281666,0.000232648186099618
245af9c6c1c64d35bc0ec0caf7d5a0ae,298.15,101.325,1,OCCCO,1.0,1.0499000000000005,0.0,1.0572013529450093,0.0002574961052658106
54f65801a167422a9cdc5af000b84f2c,298.15,101.325,1,OCCCO,1.0,1.0499000000000005,0.0,1.0572013529450093,0.0002574961052658106
2ed445c883354497959eb2b26b8751aa,298.15,101.325,1,CCCCCC(=O)O,1.0,0.9220600000000002,0.0,0.9501218134138004,0.00025178500015545554
64228b5f8eed447b9abfffbcc8b884c4,298.15,101.325,1,CCCCCC(=O)O,1.0,0.9220600000000002,0.0,0.9501218134138004,0.00025178500015545554
3873480e9fbf42a1ae0e11b2b8e55a48,298.2,101.325,1,CCOC(=O)CCC(=O)OCC,1.0,1.03534,0.0,1.0514888164761103,0.00022285182865147124
7ed6717ab318453ead16134fbb552e29,298.2,101.325,1,CCOC(=O)CCC(=O)OCC,1.0,1.03534,0.0,1.0514888164761103,0.00022285182865147124
10b91061667d4852baa2bf2feb865941,298.15,101.325,1,CCCCC(=O)OC,1.0,0.8845900000000002,0.0,0.8952983782543154,0.00021637912898575697
8776ab08bf0b4a6e8b41b9954a3c10f8,298.15,101.325,1,CCCCC(=O)OC,1.0,0.8845900000000002,0.0,0.8952983782543154,0.00021637912898575697
a08f8dea01504ac884eeea66ec87dbc4,298.15,101.325,1,CCCCC(=O)O,1.0,0.9339000000000002,0.0,0.9682550400831991,0.000284929900983347
84a4554580554e5f9332723b06b1ebfc,298.15,101.325,1,CCCCC(=O)O,1.0,0.9339000000000002,0.0,0.9682550400831991,0.000284929900983347
66cdbc1186ef4fbe80096b6cebf82c4c,298.15,101.325,1,CC(=O)OCCC(C)C,1.0,0.8679100000000002,0.0,0.8870713519080529,0.0001930131943936786
86a7dc9c93684e0c9e878b08ec4ab44b,298.15,101.325,1,CC(=O)OCCC(C)C,1.0,0.8679100000000002,0.0,0.8870713519080529,0.0001930131943936786
