Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
d3f4632f13024f369f5a3659bf4bf209,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.8520400000000001,0.0,0.8736090471271639,0.0003076904237300727,0.00046522379397381244,0.03333333333333333,0.04821932532357388,0.006669578752890301,-0.7767887314657258,0.32846450254429627,-0.18465826159196796,-0.008438558295725226,-0.9356065221974591,-0.027535655564972828,-0.07779556807797489,0.02845511536819961,-0.09265443134669575,0.003644870313874204,-0.06930722542751634,0.05728475618844457
c411fef1a75a461da323ed6d85732898,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.8785100000000002,0.0,0.9074390325823687,0.00028058041001877127,0.0008368889261517355,0.03333333333333333,0.04821932532357388,0.011997874297686912,-1.2687787966038078,0.3851028533286197,-0.35721175810012956,-0.031244741175306123,-1.1123297961593972,-0.03924274017467765,-0.11121936288345188,0.09545334103017683,-0.15259681621653223,0.021606271061306425,-0.017796753531504242,0.04755947469572733
2d405379dd184c1482d2f2886a9442c0,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.8272700000000002,0.0,0.8435496587904479,0.00029614445928908054,0.0002650272903334005,0.03333333333333333,0.04821932532357388,0.0037995055442999045,-0.6776736300524623,0.19875777915887338,-0.09205275136533933,-0.014968298480404782,-0.6788592642062057,-0.03686016349512167,-0.046698419616671386,-0.023529726198726647,-0.03612158226475303,0.00851330220875104,-0.07500069263922125,0.05388576759094013
37d4555b84be409b90fe461483c80afc,298.15,100.0,2,COC=O,0.4946,CO,0.5054,0.8956100000000002,0.0,0.937878571953,0.0004237603012124815,0.001786632174945914,0.03333333333333333,0.04821932532357388,0.025613659807606944,,,-0.4608979326082457,0.09511051587010255,-1.033490751608875,0.14743193319687298,-0.16083902764357497,0.24907009261357974,-0.3003587040305033,0.03287495900892184,-0.2262783545219388,0.19520249916415522
cf6aeb50271b4d5b8eaed85e02347194,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.8088000000000002,0.0,0.813259837817744,0.0004120158548057156,1.989015336057813e-05,0.03333333333333333,0.04821932532357388,0.00028515081550817864,,,-0.009506679549376371,0.0025160338008509793,-0.13611112299086986,0.015468634678819976,-0.0036778087061792625,0.0041853082835942275,-0.006767562001335488,0.0002649754208288592,-0.023859893320611655,0.08746960310386265
5f66e57aaecc4cb6b949d4f6b1063214,298.15,100.0,2,COC=O,0.7271,CO,0.2729,0.9321000000000004,0.0,0.9912418069206552,0.00036299976675343155,0.003497753325840018,0.03333333333333333,0.04821932532357388,0.050144772402133705,,,-0.9171888408241379,0.23320607654916312,-1.4227588074246056,0.22255232306033965,-0.4122929649099911,0.3999185752246199,-0.5897601781452007,0.1336390554880022,-0.16508155876281874,0.15519384371938244
7c03380049384f30a298945bb04129ab,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.9950010000000002,0.0,1.0280534089389979,0.00022983798858925623,0.0010924617366707308,0.03333333333333333,0.04821932532357388,0.015661837768458788,-0.6821495518676972,0.4677239284626762,-0.2969507694817476,-0.0036831588878579362,-1.1615972628438223,0.028397008823095912,-0.04532307786064225,0.23899316789754493,-0.16024167929523264,0.021816002295582105,-0.026774567575863592,0.041367733555479576
4ebb87dcc7fb4f1d917d610ec750534f,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.8987460000000002,0.0,0.9236349926742347,0.0002080336763034487,0.0006194619563380986,0.03333333333333333,0.04821932532357388,0.008880780294846674,-0.649557027772254,0.33979585718322675,-0.12100328858284087,-0.010347281114922292,-0.9480434735764092,-0.049746307074809586,-0.040819112699363204,0.041294101816067366,-0.05920784732429899,0.0073291916695417125,-0.047201108134528894,0.06704251596216546
eb5d4aebf7284884a4cecd15514d03d5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.9511160000000002,0.0,0.9807133021271702,0.00027130656475584915,0.0008760002932069845,0.03333333333333333,0.04821932532357388,0.012558585822091153,-0.9918411697667003,0.39955360886003816,-0.2537221986051266,-0.030132358604461475,-1.178708967659773,-0.059746004148560086,-0.0868076581730506,0.053365389280360845,-0.14216669851956884,-0.01921042487718494,-0.012345030060312392,0.10797545895371696
98d2cc7c7cb140ce8b4c508da55b85c9,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.9994170000000002,0.0,1.0340591677707993,0.00024155282749140617,0.0012000797878601913,0.03333333333333333,0.04821932532357388,0.017204680324962016,-0.6573176990642063,0.43360643302953694,-0.3361036321120893,-0.020250498122316798,-1.145753149546029,-0.051788292569387974,-0.1093102870121431,0.12726099198061278,-0.1954385510365422,-0.015651589865708467,-0.0033698949145057958,0.0660846184561512
