Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol)
5de7210f48ea4d19be2842fc37982dc5,298.15,101.325,1,CCCCO,1.0,52.42,0.0,47.86782255051887,0.24198608445852035
09f294796c93430a85ff810dcbcd048f,298.15,101.325,1,CCCO,1.0,47.5,0.0,43.273551439181354,0.25049410619477713
07e3edf4d4d14d76bb9c8df57dfca568,298.15,101.325,1,C1CCOCC1,1.0,34.94,0.0,39.634721206946786,0.26885863893944945
cc60bc98c0a741118aa7c02888e56746,298.16,101.325,1,O=C1CCCC1,1.0,42.63,0.0,43.00036687546827,0.24256119205432952
a06a99f886784088ba7caed942c5fa6f,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,46.923392602179156,0.25517807180262103
a88074bee77848ac8905af045630488d,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,47.03924146907802,0.2671766638487221
cf3ad1b9915e4f17ab540235d55f6011,298.15,101.325,1,COC(C)(C)C,1.0,32.42,0.0,31.671706999226267,0.25808101530562916
88cec6c9ea9e45b9a165593f7f35b321,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,37.7745251324678,0.16254729766429635
a2d4c9f179a443b1a7e29dfbc32c656f,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,65.3048428904048,0.16180886105067901
0a5fb66f38ae4317ac7e1569893b5f4e,298.15,101.325,1,CO,1.0,37.83,0.0,32.59828749733952,0.08785355284503882
aac032810be04c17a234fa2eca70f46c,298.15,101.325,1,CC(C)OC(C)C,1.0,32.12,0.0,34.95238730391558,0.32127587194659907
f5943cdf0562498e9772f6f7c297df93,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,43.524026084785056,0.2461011265015322
771f878b50e648fa9c9871eb622b3991,298.15,101.325,1,CCO,1.0,42.46,0.0,38.05032954170923,0.12424768219001278
cf756b8f9e014625927ca0ca0c66fc5f,298.15,101.325,1,CCCCCCC,1.0,36.58,0.0,34.49373254616264,0.227690555110409
ec0cdf538d6441a88d7543b950e8bcc3,298.15,101.325,1,CCCCCC,1.0,31.55,0.0,29.540151321201048,0.28440211871147614
55a515d11b8d46a690e6ce3e35bfb285,298.15,101.325,1,CC(C)CC(C)(C)C,1.0,35.13,0.0,36.297830718481116,0.24206644565363855
70566af0dd304cbfafae63566d5e5ac1,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,43.03764829878744,0.25515175577381805
674c8b83f0be43ceb3e12abd123887a7,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,50.38874126376622,0.2889470946887872
664ed486364b4e89b9dfcb2a45870616,298.15,101.325,1,C1COCCO1,1.0,38.64,0.0,50.62971289739398,0.23652323668125336
8ee7c82e60b5479288b3482b428d8b84,298.15,101.325,1,CC1CCCCC1,1.0,35.38,0.0,36.74513116621704,0.31669752486785224
d511f5e790d24de79dd7814e9a9f94fa,298.16,101.325,1,O=C1CCCCC1,1.0,44.89,0.0,47.21439874453898,0.2786637707249761
413e16d0dd5d41979421011544e9394a,298.15,101.325,1,C1CCCCC1,1.0,33.02,0.0,32.04160506276107,0.28528797757052965
dd9241fb705144fb94c88bbbd69d3a18,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,46.53980693065145,0.2659686423747398
