Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol)
5843ee1b41274000bf33b28ce5d25961,298.15,101.0,2,CCCC(=O)O,0.4999,CCC(=O)O,0.5001,0.03084990474086169,0.0,-0.009925882191118599,0.026792201308376215
34ee844074e4437ca89a6d5036c87784,298.15,101.0,2,COC(C)=O,0.7489,OCCO,0.2511,-1.0815876719123274,0.0,-0.21140396405716894,0.029523769976382435
2fd83fedadd84d359edf5166b9b14fa8,298.15,101.0,2,COC(C)=O,0.4856,OCCO,0.5144,-0.9349613959754032,0.0,-0.20244720334937052,0.02554584689849633
d1b94b067d244c8f93860aec6ca29d0d,298.15,101.0,2,COC(C)=O,0.2505,OCCO,0.7495,-0.6008062300789803,0.0,-0.17075266648319357,0.02501803424992142
722037399f2c47138561fa5742b04a81,298.15,101.0,2,CCCO,0.8,OCCCO,0.2,-0.3074159872129183,0.0,-0.7109607900338717,0.03956243711329879
a021902aa7b448f68d4308731949f8a9,298.15,101.0,2,CCCO,0.5,OCCCO,0.5,-0.4667863646559241,0.0,-0.9526345808936646,0.03386468962745869
c1d895a683c649798cc8aca9f5e71402,298.15,101.0,2,CCCO,0.3,OCCCO,0.7,-0.3785091634431837,0.0,-0.6932966930586859,0.033617562614163154
9d40b989907548f99cfcdf995b78b7be,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.10391545955037174,0.0,-0.03802149233485048,0.03528118153819904
8eb6b1cd368842e49ef7cbf8f6d3f6fd,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.09894594011771927,0.0,-0.041735789070553975,0.03233521642663425
2fb3e633443f404f934c9772a8deb6bd,298.15,100.0,2,COC(C)=O,0.3042,CCCC(=O)OC,0.6958,0.08341429185595928,0.0,0.01224331968333952,0.033237224403771894
