Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
544e086a5b324c4ca0335906bc97f2e4,298.15,101.0,2,OCCCCO,0.7337,OCCO,0.2663,1.0304000000000004,0.0,1.0506828133540462,0.00037511335678736956
d9c2e4a3f2b5457d9d5bc9b3de040b43,298.15,101.0,2,OCCCCO,0.2279,OCCO,0.7721,1.0782100000000003,0.0,1.111257318963811,0.0005434243079694139
f67cbf1ea5f942d5bb8d6d3b44180252,298.15,101.0,2,OCCCCO,0.5081,OCCO,0.4919,1.0485600000000002,0.0,1.075656640700921,0.0005150837568184804
97979f8ec88847d2b6230abf032fbe90,298.15,101.0,2,CCCO,0.5053,CCCCCO,0.4947,0.8062000000000002,0.0,0.7855215438179343,0.0003783461007897012
322e753645e641d9ab6f516f5606bbb0,298.15,101.0,2,CCCO,0.2143,CCCCCO,0.7857,0.8091000000000003,0.0,0.7877541704280252,0.00024792899651081713
a8e945532acd46aaa49e17fd2d23038d,298.15,101.0,2,CCCO,0.7892,CCCCCO,0.2108,0.8028000000000002,0.0,0.7824388651603645,0.0003017260431711785
fc8f952786094f6fa29e515a938b4fd7,298.15,101.0,2,OCCCCO,0.4578,OCCCO,0.5422,1.0317700000000003,0.0,1.0514026226570587,0.00029749543825881075
3629de41d71a403fabb10f658deb1719,303.15,101.0,2,OCCCCO,0.7669,OCCCO,0.2331,1.01741,0.0,1.0349947860850268,0.0004925621026966682
c0f6c7dc08584b2a96d6333fcab2b528,298.15,101.0,2,OCCCCO,0.2657,OCCCO,0.7343,1.0392000000000003,0.0,1.0621854615186725,0.00032500083558582144
6fa59091625244ffb2d3d85f240ae78b,293.15,101.0,2,CCCCCCO,0.7138,CCCCC(=O)OC,0.2862,0.8385600000000002,0.0,0.8197471797975047,0.00022183263727254036
ce5ee0c4abc7442b95e6b12afe2583f5,293.15,101.0,2,CCCCCCO,0.4913,CCCCC(=O)OC,0.5087,0.8542200000000002,0.0,0.8359707040575366,0.00022408506771841896
