Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
d3f4632f13024f369f5a3659bf4bf209,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.8520400000000001,0.0,0.842621105491394,0.00029601615269385785,8.871557376425038e-05,0.023809523809523808,0.04821932532357388,0.0009084652429539309,0.19866440089607618,-0.09802554757902705,0.06478604870182515,0.007196796449141779,0.29678142825346415,0.0207505753743725,0.01842404525485341,-0.020518074768883683,0.02790765327680756,-0.0018009103562585333,0.019129386122631393,-0.014567309185081423,ester,alcohol
c411fef1a75a461da323ed6d85732898,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.8785100000000002,0.0,0.8696417796735486,0.000269698393894326,7.864533175848978e-05,0.023809523809523808,0.04821932532357388,0.0008053439479862739,0.0616018529974988,-0.10242859661242283,0.07652352073205998,0.004777200673650841,0.2370671346788959,0.007682240944726324,0.022469921394243374,-0.02348534379347322,0.034778379260458944,-0.0025502226441857945,0.0036956018837317837,-0.008108959458644944,ester,alcohol
2d405379dd184c1482d2f2886a9442c0,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.8272700000000002,0.0,0.8185148756455664,0.0003009652883153281,7.665220246160019e-05,0.023809523809523808,0.04821932532357388,0.0007849339048099872,0.1644132543786392,-0.09080245372750421,0.03813182358690101,0.0045480326012969675,0.2760858384396831,0.01718234174444167,0.013554921272048246,-0.0050388595921063125,0.018210365998944288,0.002070014458298866,0.012581712380826707,-0.04751305465029341,ester,alcohol
37d4555b84be409b90fe461483c80afc,298.15,100.0,2,COC=O,0.4946,CO,0.5054,0.8956100000000002,0.0,0.9211437976748352,0.0004148816578116795,0.0006519748236994087,0.023809523809523808,0.04821932532357388,0.006676352769648734,,,-0.2534118050250763,0.040646944544499485,-0.5264690572780749,0.05881882154735519,-0.10448617754595799,0.09020045960213433,-0.1514813828100859,0.029575155892866925,-0.07356311198275141,0.14054566170843508,ester,alcohol
cf6aeb50271b4d5b8eaed85e02347194,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.8088000000000002,0.0,0.8151870654165526,0.0004699019880818092,4.079460463532005e-05,0.023809523809523808,0.04821932532357388,0.00041774492164948146,,,-0.01123610493229579,0.0018318506703155512,-0.1329756869583527,0.019210025475380844,-0.0059367749923546626,0.0025629702592353367,-0.006984964495457247,0.0006937252848555087,-0.024014826982112127,0.07994142137990919,ester,alcohol
5f66e57aaecc4cb6b949d4f6b1063214,298.15,100.0,2,COC=O,0.7271,CO,0.2729,0.9321000000000004,0.0,0.9650864191385654,0.00035663902748543744,0.0010881038475850898,0.023809523809523808,0.04821932532357388,0.011142401320452622,,,-0.335100797606353,0.06549145850347338,-0.5110014762849621,0.03706217543194951,-0.13626062419299678,0.1516604574873094,-0.2284239577555542,0.010046721246837451,-0.04436453505341692,0.06566718214722364,ester,alcohol
7c03380049384f30a298945bb04129ab,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.9950010000000002,0.0,0.9901651335910552,0.0002496941118657981,2.3385603925163253e-05,0.023809523809523808,0.04821932532357388,0.00023947326777092783,-0.009098272562136007,-0.05908568139248461,0.04139586824829848,0.0011457370862608329,0.14367287199051093,0.003976831444978506,0.012637254868055137,-0.019446840505958605,0.020953076451741593,-0.0028094035482719893,0.0004074376255795511,-0.007334462297736526,ester,alcohol
4ebb87dcc7fb4f1d917d610ec750534f,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.8987460000000002,0.0,0.8934125448364796,0.0002688862627044063,2.844574398128426e-05,0.023809523809523808,0.04821932532357388,0.0002912901153706592,0.09488827241768089,-0.06285179775374838,0.018545945446900542,-0.0015148580229967638,0.1838454947845774,0.015967095938312918,0.00955510280621176,-0.005512926283572027,0.011890067247370635,-0.0004664481277991471,0.006506339586237803,-0.014741671142983144,ester,alcohol
eb5d4aebf7284884a4cecd15514d03d5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.9511160000000002,0.0,0.945613140651764,0.00029207590619749707,3.02814610064698e-05,0.023809523809523808,0.04821932532357388,0.00031008822535878256,0.03492406546973788,-0.07676857172180526,0.038502755846619885,0.0028556354396882975,0.19425418175683035,0.010211881460578384,0.012812416958675797,-0.013304460969011974,0.02024459483020931,-0.0009758982059272389,0.006026019226700094,-0.009127572092342922,ester,alcohol
98d2cc7c7cb140ce8b4c508da55b85c9,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.9994170000000002,0.0,0.9963716480170456,0.00030022783226573205,9.274168700085734e-06,0.023809523809523808,0.04821932532357388,9.496934488309927e-05,0.021172118110974913,-0.033881553892658095,0.024599806278407074,0.00045171796619885657,0.08296612067347577,0.0005056930882773162,0.008209424551658158,-0.010846291853851128,0.014153367075160642,2.411418976155374e-07,0.0011144937990659788,-0.0038474000855850785,ester,alcohol
