Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
h_mix_rho_x,Pure Density,Slope,1.0733417169723058,0.019993783554692696,1.031792409819809,1.110801241574996
h_mix_rho_x,Pure Density,Intercept,-0.07323458084894952,0.01806363739442074,-0.10666748242547686,-0.035188057979963716
h_mix_rho_x,Pure Density,R,0.9904295193375694,0.0023642546745826823,0.985161040431491,0.9944008448540133
h_mix_rho_x,Pure Density,R^2,0.9809506327752487,0.0046798917316265365,0.9705422755840578,0.9888330402463753
h_mix_rho_x,Pure Density,p,1.1259740116263112e-63,1.2208087778949019e-52,5.550310392750461e-72,7.848777067699282e-57
h_mix_rho_x,Pure Density,RMSE,0.018934414116261414,0.001413016532040306,0.01630872095166852,0.021840192187408257
h_mix_rho_x,Pure Density,MSE,-0.0028062109533088654,0.0021481178262411,-0.006920211067387574,0.0015873955396713095
h_mix_rho_x,Pure Density,MUE,0.015394239773144719,0.0012764161057623818,0.013043924916878192,0.01809790543346724
h_mix_rho_x,Pure Density,Tau,0.9173243141676063,0.018384051950823058,0.8652899579003472,0.937674942061353
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0458495798598713,0.020962787278953864,1.0036343241739247,1.0842690340289178
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.04761373071695607,0.018838783661476823,-0.08155543924480646,-0.009725896411873491
h_mix_rho_x_rho_pure,Pure Density,R,0.9902844245420714,0.002255291478123683,0.9854759634006021,0.9940453395858296
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9806632414906216,0.004463136488693019,0.9711628744403448,0.9881261371523073
h_mix_rho_x_rho_pure,Pure Density,p,1.9306455338557424e-63,3.2023923793607585e-53,5.3577606616590624e-71,3.5004860533355973e-57
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.017661355798675258,0.001374990181339066,0.014967694951617995,0.02034718465787125
h_mix_rho_x_rho_pure,Pure Density,MSE,-0.003585430000325116,0.002029096903710943,-0.007485868609963206,0.0003225016512584276
h_mix_rho_x_rho_pure,Pure Density,MUE,0.013954502764649959,0.0012184225249161009,0.011644829956978896,0.016508607707144237
h_mix_rho_x_rho_pure,Pure Density,Tau,0.9120631341600902,0.020922605333267327,0.8532095283013609,0.9341626270738586
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,1.0765050143082135,0.018531865114965754,1.038456802199025,1.109994018958162
h_mix_rho_x_rho_pure_h_vap,Pure Density,Intercept,-0.07436876714600071,0.01676270253845657,-0.10410466103054605,-0.03954288250866311
h_mix_rho_x_rho_pure_h_vap,Pure Density,R,0.9902633972871844,0.0023266733647223955,0.9851718619792379,0.9940264457243086
h_mix_rho_x_rho_pure_h_vap,Pure Density,R^2,0.9806215960067559,0.004603924148919205,0.9705635976356386,0.9880885747993019
h_mix_rho_x_rho_pure_h_vap,Pure Density,p,2.0861593110627058e-63,2.5903176545190776e-50,5.379697084953788e-71,9.150842038406398e-57
h_mix_rho_x_rho_pure_h_vap,Pure Density,RMSE,0.019081885925026843,0.0013340093656176878,0.016345727516535256,0.021594647125343425
h_mix_rho_x_rho_pure_h_vap,Pure Density,MSE,-0.0009027553180430632,0.0021331380250539686,-0.005076848936271332,0.003311463179234811
h_mix_rho_x_rho_pure_h_vap,Pure Density,MUE,0.015913154525024443,0.0012328927670226136,0.01350950072232195,0.01842303995954484
h_mix_rho_x_rho_pure_h_vap,Pure Density,Tau,0.9218338970311913,0.017262174155703424,0.8687787585658733,0.9369717046288164
h_mix_v_excess,Pure Density,Slope,1.0177531362999488,0.02706050634566446,0.9679971612019252,1.0743123727017443
h_mix_v_excess,Pure Density,Intercept,3.6126485195908664e-05,0.025042869519579895,-0.05024307330923761,0.04808819901717909
h_mix_v_excess,Pure Density,R,0.9887635473729335,0.002141108240241779,0.9847872802664202,0.993279441613174
h_mix_v_excess,Pure Density,R^2,0.9776533526135073,0.004235305556267481,0.9698059873745327,0.9866040491313789
h_mix_v_excess,Pure Density,p,3.53333605116887e-61,4.9184079317199424e-55,3.8970845490406503e-69,1.8327285396554155e-56
h_mix_v_excess,Pure Density,RMSE,0.024392549270695906,0.002857111135246442,0.01879919059347524,0.029861129312333836
h_mix_v_excess,Pure Density,MSE,0.017084056391345255,0.002017273105400755,0.013376899417198369,0.021192708888325813
h_mix_v_excess,Pure Density,MUE,0.0174766713244878,0.0019747688867990847,0.013781657041830653,0.021434670331204907
h_mix_v_excess,Pure Density,Tau,0.9218338970311913,0.01703446843335114,0.873250409847967,0.9382276933852524
openff-1.0.0,Pure Density,Slope,1.0391077401404094,0.024592908590605204,0.9938109524050477,1.0882673362068005
openff-1.0.0,Pure Density,Intercept,-0.011474828881048449,0.022913609129985957,-0.056942679322591006,0.03151730970418465
openff-1.0.0,Pure Density,R,0.9903530564824848,0.0015828715278906314,0.9871996872456708,0.993575212663335
openff-1.0.0,Pure Density,R^2,0.9807991764841998,0.0031349820342046705,0.9745632224979501,0.9871917032189914
openff-1.0.0,Pure Density,p,1.4975310607212291e-63,2.6032128021115624e-57,7.304898188574009e-70,3.9057458230702576e-59
openff-1.0.0,Pure Density,RMSE,0.031089197959466717,0.002428872462529544,0.02645010342108577,0.035996633659552954
openff-1.0.0,Pure Density,MSE,0.026079437668661252,0.0019381625914058865,0.022601060141104065,0.030084222660440398
openff-1.0.0,Pure Density,MUE,0.026099578376086098,0.001934337818022787,0.022651027583664985,0.030096567012691193
openff-1.0.0,Pure Density,Tau,0.9158211198797446,0.01640730740153506,0.8712083898175033,0.9351893714482259
