,Iteration,Objective Function
0,0,0.3447042952858285
1,1,0.1306067113117115
2,2,0.11272113268729772
3,3,0.10054812503942023
4,4,0.09903983032620782
5,5,0.09885358176803094
6,6,0.09871191642317469
7,7,0.10026105866610066
8,8,0.10025508402928006
9,9,0.09854902921212692
10,10,0.09547793105000947
11,11,0.09858953547520184
