,Iteration,Objective Function
0,0,0.7876700248942567
1,1,0.1411062640714222
2,2,0.10312369802469125
3,3,0.08266000646027916
4,4,0.06687272238571827
5,5,0.0712171004262311
6,6,0.06532403245322553
7,7,0.06465112955632232
8,8,0.06858159552790181
9,9,0.05867172681956033
10,10,0.0591174288277966
11,11,0.053725771285860646
