Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
230170447d0d46ddad4442a098022ce3,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,68.52843986289444,0.17237701742878495,286.57207619163364,0.03571428571428571,25.6831695776047,0.015515958174119503,-0.4723552848104854,0.02821671760744842,-0.15979748289841555,-0.016431489812282724,-0.1413540721313408,-0.013678213223663358,-0.033975086352736515,0.07541877648240888,-0.04167319155136381,0.07160829281962375,,
83129db40632430d910fcc337b265651,298.15,101.325,1,CO,1.0,37.83,0.0,32.56171866605624,0.14510490302389606,27.75478821358026,0.03571428571428571,25.6831695776047,0.001502735851923973,,,,,0.04110475594917005,0.003524792841534936,,,-0.0006299664825485608,-0.04200190467184817,,
709af4a3f59c4ec0b6ba0e85cfaf0bd3,298.15,101.325,1,CCO,1.0,42.46,0.0,39.56579932612115,0.13103080455422575,8.376397540680784,0.03571428571428571,25.6831695776047,0.00045352581318526563,0.07580160880715073,-0.0032625776746273857,,,0.04465777364026889,0.007077433980842359,,,0.00016913760546112249,-0.022699806662530398,,
54bd07996f4a466b8928b27533e8f0ff,298.15,101.325,1,CCCO,1.0,47.5,0.0,45.59114435789507,0.21806492594174695,3.6437298623958316,0.03571428571428571,25.6831695776047,0.000197283562634755,0.08097595890885673,-0.002552791449227242,,,0.0407114973938696,0.007332872859064355,,,-0.0012962510094546092,-0.01740816040282537,,
4c72054638a14cff977fc8e3faca7e50,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,45.5482103981083,0.20995541304900173,0.004652658410093592,0.03571428571428571,25.6831695776047,2.5191028466152104e-07,-0.003457171540232247,9.845402824892198e-05,,,-0.0014386273388976884,-0.00027484421726798914,,,5.279454214119076e-05,0.0006116142319845319,,
da8405b30dd84d94999d34c1ffdb7295,298.15,101.325,1,CCCCO,1.0,52.42,0.0,51.265556007355244,0.2550181411201884,1.3327409321535701,0.03571428571428571,25.6831695776047,7.21589934198744e-05,0.06763887705241234,-0.0028233065405711246,,,0.03456846547948307,0.006893903539579916,,,-4.699874467981048e-05,-0.009612781286776935,,
25a40b62ddad4fb2acd4a5c1d70d8ff4,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,48.90478130669064,0.24953840704452945,3.9410932602649362,0.03571428571428571,25.6831695776047,0.00021338379858644538,0.11809645900988255,-0.0023245677961124906,,,0.05281805936319631,0.011191108658082594,,,-0.0010175620158156585,-0.01658604699982405,,
e28e996ef67e4512b3307cd35153ee96,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,49.950784320170264,0.2351592337992175,10.24502026424782,0.03571428571428571,25.6831695776047,0.000554699215728112,-0.2506831840510622,0.007827364474848175,,,-0.09180364957456875,-0.01827000361636119,,,-0.0022508014796359106,0.02348756340972129,,
2f9a38bbc9fc456ca87cc730f7c4e16c,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,44.92451061240436,0.17243096511169717,86.57391773634544,0.03571428571428571,25.6831695776047,0.0046873976851412955,-0.4971222838388952,0.02145810142618698,-0.07638532026935206,-0.013080470607123657,-0.21424228134567005,-0.037898943208365926,-0.03237523629001715,-0.0005660503930943656,,,-0.03704105316406585,-0.008820374453520343
94cd235148f048cca7ba1c7405b753e7,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,50.11670324385619,0.282292279541617,105.81626362716156,0.03571428571428571,25.6831695776047,0.0057292418102967094,-0.7189810041300331,0.031465999013392504,-0.08693263741116737,-0.015540411740307488,-0.30614033787643996,-0.054707802757329074,-0.04259389381967714,-0.010843338305479506,,,-0.042252622948567964,-0.012753415848856921
afe950e41cb14224a1caf561d6d11c24,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,53.71058577387419,0.32340630092433414,115.57509448142616,0.03571428571428571,25.6831695776047,0.006257617126466112,-0.845911912054503,0.03751255826812119,-0.0871858116393937,-0.01559860500356238,-0.3679550822776063,-0.07481335186385253,-0.03373119130533944,0.006009229880737384,,,-0.04104429942786236,-0.012354850733481325
e05f04fc2fa847ceaaef6c50875aa85d,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,39.01196344565674,0.17418663675362694,105.95044844108122,0.03571428571428571,25.6831695776047,0.0057365070190639,,,-0.08881343115711816,-0.0026538933750043675,-0.08724742841354757,-0.010749854005524752,-0.04033796604266446,0.0048095725396166775,,,-0.0501080259829431,-0.009234998207377198
04f57481b00c4d7a84a422abc396e53c,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,61.7,0.0,80.13645620666836,0.36299854836462003,339.90291746040003,0.03571428571428571,25.6831695776047,0.018403465964527674,-1.5232383230249242,0.05296301798131607,-0.28801625860674934,-0.04107779034385524,-0.737912661444656,-0.12209931208971739,-0.11726968869231998,0.04594127533944513,,,-0.1563399068915503,-0.05029394288352417
055bb046803c41e199b4713916d63357,298.15,101.325,1,C1COCCO1,1.0,38.64,0.0,50.58904160570645,0.24825952863326428,142.77959529490371,0.03571428571428571,25.6831695776047,0.007730558602060032,,,,,-0.37033543559283355,-0.05738483120670425,,,,,-0.09842933019740602,-0.007695907203452972
