,Iteration,Objective Function
0,0,0.6459674836950644
1,1,0.11973697477191086
2,2,0.13774428421850168
3,3,0.14403208561745465
4,4,0.11813119828339852
5,5,0.107263731916661
6,6,0.1330742250789758
7,7,0.10822470327290852
8,8,0.13051590857931283
9,9,0.11310133831276656
10,10,0.15071382338020337
11,11,0.12027127985884492
