Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
29b64efb08fe4b85ba92b53cfd95994e,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,64.51767988869155,0.16858034764616966,166.866453706706,0.08333333333333333,25.6831695776047,0.021080968129077615,-0.8790194211435013,0.038703045510050736,-0.2922990002538772,-0.02421916327041556,-0.22053071180148787,-0.021343034585679457,-0.10267341916819354,0.05828884327885021,-0.06431034298211147,0.11064862377154519,,,ester
f8cd0f404aad475eb1e523862be7338b,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,40.24481236232547,0.2502827346564471,21.388889386718507,0.08333333333333333,25.6831695776047,0.0027021518433555506,-0.5755944607338354,0.03399403779773561,-0.09931945731536462,-0.011471404522582577,-0.24625058447530476,-0.04030438447336334,-0.04116629645040763,0.004064024439260957,,,-0.04521123560971407,-0.01154876203852466,ester
92275cfe16774c7bb29be244db8be34a,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,43.69302637613554,0.2660990311704818,14.922972782718912,0.08333333333333333,25.6831695776047,0.0018852843494626703,-0.6830407538901617,0.02276346971064972,-0.0739410507873953,-0.009050442302559239,-0.25288348045993647,-0.05030855762842472,-0.03275124833073302,0.0022496093825306596,,,-0.032052275849221,-0.00727907791375346,ester
b571eb42d5ea460a8041b5a6278d99af,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,46.449335064020595,0.31308349303536304,12.175459189003602,0.08333333333333333,25.6831695776047,0.0015381789534007159,-0.55811900404949,0.04524593980275501,-0.07290621853038293,-0.008981619806533316,-0.28165228085132255,-0.056059799700003354,-0.03506329517411214,-0.005303249096625453,,,-0.032377825542600346,-0.008511493215760195,ester
b0cc2bb7c5bd4959be0fb7c6cd722f2d,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,36.83703829906912,0.18150726342288603,65.90676690896885,0.08333333333333333,25.6831695776047,0.008326289807420312,,,-0.17151551145455568,-0.0007708699221550469,-0.1676757064971781,-0.02774928160454378,-0.09300396851943905,-0.010542864851909833,,,-0.09093690645862508,-0.01715728676809933,ester
369bcdaf8853439590812b0124307c2e,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,61.7,0.0,71.60069353050244,0.3455041624133441,98.02373238493281,0.08333333333333333,25.6831695776047,0.012383766373630055,-1.833543191517035,0.06993238420944638,-0.4063989084511204,-0.06362918325132895,-0.8312347113777105,-0.1400278736012651,-0.1783616968208018,0.021765695266529196,,,-0.17508600379086392,-0.05517089894003517,ester
