Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Iteration
h_mix_rho_x_rho_pure,Pure Density,Slope,1.168472085543463,0.06518704211790498,1.066400838992762,1.324131751252722,0
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.11910561699355882,0.05465541070396639,-0.24733809665655937,-0.031003546924900482,0
h_mix_rho_x_rho_pure,Pure Density,R,0.9902681824070712,0.016292213151175388,0.978401745517754,0.9978360584533017,0
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9806310730878044,0.022779824175398252,0.957269975632188,0.995676799549621,0
h_mix_rho_x_rho_pure,Pure Density,p,6.763370102046289e-10,0.0073676633695516905,3.730684577417147e-13,3.8251209557666084e-08,0
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.03576285690865126,0.007205017067267149,0.021208789234110986,0.049363685755885844,0
h_mix_rho_x_rho_pure,Pure Density,MSE,0.027609211259096,0.006624278949800591,0.01578025394729703,0.04116972485478069,0
h_mix_rho_x_rho_pure,Pure Density,MUE,0.028461705225083078,0.006304226592002441,0.017504608746041678,0.04178907705516954,0
h_mix_rho_x_rho_pure,Pure Density,Tau,0.6969696969696969,0.17659083812936682,0.21885688981825283,0.9066928292470474,0
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0990567222858778,0.07225249933420366,0.9626394284946279,1.202322219093713,1
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.08567652135276282,0.05939854845707221,-0.1749002955422787,0.027542368374019688,1
h_mix_rho_x_rho_pure,Pure Density,R,0.991070975378869,0.03892427996783662,0.9787006038490083,0.99795072058387,1
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9822216782384228,0.03042417048571423,0.9578548719744134,0.9959056407138654,1
h_mix_rho_x_rho_pure,Pure Density,p,4.4034858752753384e-10,0.020139984580925616,3.0243106136225867e-13,3.444021347411062e-08,1
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.017206122775141868,0.003882567534881878,0.00802718883203217,0.023805638506757643,1
h_mix_rho_x_rho_pure,Pure Density,MSE,0.0005875618071397674,0.004985823428407353,-0.008375376700728993,0.011171862963719812,1
h_mix_rho_x_rho_pure,Pure Density,MUE,0.012845202206954889,0.0033508052497704167,0.006467548897395804,0.01968867178663068,1
h_mix_rho_x_rho_pure,Pure Density,Tau,0.7878787878787877,0.15409679402907278,0.32897584747988445,0.9298547766256363,1
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0635505652849087,0.06808241546549602,0.8741089549144685,1.1680397413691803,2
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.05288261595703203,0.05632557571414309,-0.1422779282088179,0.10096992076886502,2
h_mix_rho_x_rho_pure,Pure Density,R,0.9888601710900566,0.0057941057415952105,0.9746482239725007,0.9967702208037768,2
