Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half
534e8ea10b7543d1baa914300aba1ffb,313.15,101.0,2,CC(C)CC(C)(C)C,0.5996,CCCO,0.4004,0.6999100000000001,0.0,0.7072844382903005,0.00027956543678851097,5.438234009744836e-05,0.007874015748031496,0.04821932532357388,0.0001841670415068281,-0.18740040891127308,0.03063319566513361,-0.1269769954759188,-0.012598375506800359,-0.0008182881150301984,0.005926258223817795,,,,,,
c265f8e529d64dccbd8692f91fc16ef9,298.15,101.0,2,CCCO,0.1002,CC(C)CC(C)(C)C,0.8998,0.6921900000000002,0.0,0.7064571552777411,0.00021180179982820626,0.0002035517197191705,0.007874015748031496,0.04821932532357388,0.0006893325654455543,-0.25945890838706964,0.06634747759576197,-0.22944897478297716,-0.024654018252507796,0.0018136527752455494,0.008244217207922054,,,,,,
74d5c6511c384f3895c2b9c77071cd50,298.15,100.0,2,C1CCOCC1,0.2378,C1CCCCC1,0.7622,0.7952000000000002,0.0,0.7822843859450894,0.0002396603430275152,0.00016681308641540985,0.007874015748031496,0.04821932532357388,0.0005649163414942924,0.25029841862792984,-0.05731143111944791,0.2438079431802991,0.027541939581851138,,,0.004440806401503084,-8.006671836237581e-05,,,,
5330cce2645d46cbaa85dd8a34f5c0e6,298.15,100.0,2,C1CCOCC1,0.4982,C1CCCCC1,0.5018,0.8211500000000002,0.0,0.8150956107304016,0.0002542867350318791,3.6655629427830176e-05,0.007874015748031496,0.04821932532357388,0.00012413512942248064,0.09025015459503381,-0.026893668296807206,0.11196105675450248,0.007078380760460691,,,0.005168583218344471,-0.0006212682528333131,,,,
912330eaca1847e3b56d680cdf0b2b56,298.15,100.0,2,C1CCOCC1,0.7341,C1CCCCC1,0.2659,0.8470300000000002,0.0,0.8477781022186482,0.0002525517814630573,5.596569295461683e-07,0.007874015748031496,0.04821932532357388,1.8952910225749784e-06,-0.007983461988519642,0.0030609554386773655,-0.013965877761375733,-0.0011163385935877782,,,-0.0010085988443239398,1.849200590162688e-05,,,,
709251ebba6f418c8dfb717f2cf81b8f,298.15,101.0,2,CCCCO,0.4961,CC1CCCCC1,0.5039,0.7808600000000002,0.0,0.7772900044188844,0.00025315413172844587,1.2744868449186442e-05,0.007874015748031496,0.04821932532357388,4.316078919138889e-05,0.058727783029017586,-0.016360948483793634,0.059318114728089184,0.004261388935258858,0.00036252955379659116,-0.0033727618402234487,,,,,,
24604fe94ddb4127939b0d5357276577,298.15,101.0,2,CCCCO,0.7959,CC1CCCCC1,0.2041,0.7956200000000002,0.0,0.7910167684556315,0.00023522831558358658,2.1189740651071066e-05,0.007874015748031496,0.04821932532357388,7.175954250979046e-05,0.0773395415233789,-0.014168820775878239,0.06393024942815628,0.0065519676217603955,0.0015982176444391896,-0.005483785599528031,,,,,,
d5729c1605954d4fa3cc4c187dcb795b,298.15,101.0,2,CCCCO,0.2037,CC1CCCCC1,0.7963,0.7701400000000002,0.0,0.7663625894960565,0.0002657876751412458,1.4268830115303786e-05,0.007874015748031496,0.04821932532357388,4.8321720311964494e-05,0.06012800139510202,-0.01835593688146168,0.06621595572619522,0.006460470445308007,9.695495233562012e-06,-0.002086052338877169,,,,,,
4297480f90a547729d482b376a757733,298.15,101.0,2,C1CCOCC1,0.7776,CCCC(C)=O,0.2224,0.8602600000000002,0.0,0.8591553059572737,0.00024084193430393494,1.2203489280354318e-06,0.007874015748031496,0.04821932532357388,4.132739622450706e-06,0.016258938725191935,-0.002567811775406908,0.01546259827696415,0.001415436816886841,,,0.0011567065636174999,-0.00011758862548213733,0.0007737094132046276,9.444424215964376e-05,0.00037740386404220476,1.6763120452038892e-05
5e6c966e1c294130b356da1270c75916,298.15,101.0,2,C1CCOCC1,0.2361,CCCC(C)=O,0.7639,0.8183900000000002,0.0,0.7958089530581642,0.0002564012958493827,0.000509903680989398,0.007874015748031496,0.04821932532357388,0.001726800505696979,0.18279660410407955,-0.08279522242610245,0.2450100071715239,0.007892055316714984,,,0.006911073557791684,-0.0006591662777020198,0.04944225074129988,0.006098284686142825,0.014308094877508726,-0.017469042810484177
00d6b852845d412dba3cf7f27b7fa6c5,298.15,101.0,2,C1CCOCC1,0.5046,CCCC(C)=O,0.4954,0.8386000000000002,0.0,0.8252343581851087,0.0002638401444488876,0.00017864038112397687,0.007874015748031496,0.04821932532357388,0.0006049697461768239,0.16802835933362384,-0.0469237901858016,0.184987460091117,0.01078696437529517,,,0.010302102695663942,-0.0004813077779947279,0.022298528980583765,0.00230929529862525,0.007913974538575638,-0.0066182987470797235
17d2cd300ac54fadb6bb366b359dbae0,298.15,100.0,2,C1COCCO1,0.7682,O=C1CCCCC1,0.2318,1.0030000000000003,0.0,1.0237123643366375,0.00031331257960511276,0.0004290020364135983,0.007874015748031496,0.04821932532357388,0.0014528252315939608,-0.04225995678886251,0.02221278137600966,-0.22708427656890062,0.010941360011904312,,,-0.0482338416657224,0.007641872837807108,-0.012163711680958223,-0.00031484269324074825,-0.003270165050645965,0.007762335105119134
c5869ccbc2704cd48cd7d69d87bf8d65,298.15,100.0,2,C1COCCO1,0.4875,O=C1CCCCC1,0.5125,0.9775400000000002,0.0,0.9783254651527117,0.00023628497397497434,6.169555061240926e-07,0.007874015748031496,0.04821932532357388,2.089333965780431e-06,0.00043642473678579414,0.0020477108019286705,-0.008646242266746066,-0.00010154415984884293,,,-0.0008135527758538714,0.00046052746256578067,-0.0010008384184816872,-5.902142875867451e-05,-0.00026825995785799596,0.0006025306508721504
