Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
1735edba12c64586acbcf14a2f3a1176,298.15,101.325,1,CC(C)(C)O,1.0,0.7802700000000001,0.0,0.8100787986941934,0.0003927081317928498,0.0008885644795909392,0.03571428571428571,0.04821932532357388,0.013648617343842916,-0.8430267006437161,0.641134629011652,-1.7702356275651854,-0.006700030607852412,-0.039215600470261285,0.2863577844402658,,,,,,
293d3dc64c474dcabe97a9530d664671,298.15,101.325,1,CCOC(C)=O,1.0,0.8944000000000002,0.0,0.9032480250872349,0.00024020215355700133,7.828754794433464e-05,0.03571428571428571,0.04821932532357388,0.0012025202551106744,-0.4845832428164001,0.10050490354813871,-0.37451986621693556,0.025632588234375787,,,-0.14091873984165826,-0.011317039061426996,-0.041012212801309095,0.042752307217876546,-0.06532990310783422,0.0016492244592517483
6bce57dafd0a4f7db22c97be283f7072,298.15,101.325,1,CCCCCC,1.0,0.6549610000000001,0.0,0.6341073994301446,0.0002304576890408818,0.00043487265672707864,0.03571428571428571,0.04821932532357388,0.006679774649219252,2.7134302481238124,-0.3582083295910961,1.616974429990251,0.14366021064762946,,,,,,,,
c9baf2c4d6454369a7a204c872e6f1b0,298.15,101.325,1,C1CCOCC1,1.0,0.8788100000000002,0.0,0.8904947746209289,0.00022043346571845552,0.0001365339579418983,0.03571428571428571,0.04821932532357388,0.002097202610717903,-0.3094492560017897,0.13616972567848604,-0.7456897448079759,-0.014340501320324441,,,,,,,-0.06804075335094746,0.019721449645911705
7d238e2f6d6249d3ba20d952649e4c2e,298.15,101.325,1,CCCOC(C)=O,1.0,0.8820500000000001,0.0,0.8887203828614624,0.0002860385337586899,4.449400751848952e-05,0.03571428571428571,0.04821932532357388,0.0006834413221126082,-0.1933291923557047,0.10502079068767348,-0.32762973661447553,0.012920581551599617,,,-0.09256373718025177,-0.007483012152343681,-0.03004864658643451,0.02030550555808767,-0.04106770517203525,0.003965025739568829
efcc795e1d64433d8e9a6c1c9c5a299f,298.15,101.325,1,CCCCOCCCC,1.0,0.7640700000000002,0.0,0.7691195209966895,0.00019441902293959213,2.5497662296005144e-05,0.03571428571428571,0.04821932532357388,0.0003916517527247036,-0.14630283581525644,0.09544298937533569,-0.35989475392586057,-0.013675684319424283,,,,,,,-0.022584324972732855,-0.0018813169265330426
98dfde7944bf44bea8000f1e4d6ea8e4,298.15,101.325,1,CC(C)CC(C)(C)C,1.0,0.6877900000000001,0.0,0.705304962114548,0.0002113448860464733,0.0003067738978740461,0.03571428571428571,0.04821932532357388,0.004712139230559332,-1.6685094675159502,0.2877808793045323,-1.1431462985789214,-0.08645770628702763,,,,,,,,
6592c1fb6333488eb660fc3dafe00290,298.15,101.325,1,CC1CCCCC1,1.0,0.7667000000000003,0.0,0.7674332166472191,0.0002094069687063495,5.376066517588003e-07,0.03571428571428571,0.04821932532357388,8.257799675650352e-06,-0.026047997511886543,0.016173850404169292,-0.05509740367407388,-0.00428894991796943,,,,,,,,
5b239b41217b4d08847e93517e72377b,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7895166380447498,0.00028060687486844215,0.00010207792279880142,0.03571428571428571,0.04821932532357388,0.0015679475598400754,0.5204543739122773,-0.11794680321852131,0.5429860331844778,0.007996128291459218,0.03946966592076762,-0.07154324267291824,,,,,,
87ff75ca440e4c8c8fe9335cb745f360,298.15,101.325,1,CCCCCCC,1.0,0.6796000000000002,0.0,0.665699129193016,0.00022450885657653187,0.00019323420919246587,0.03571428571428571,0.04821932532357388,0.0029681355034833355,1.5427066739988138,-0.25327711812928194,1.0790592656908833,0.09971507199701792,,,,,,,,
34ae4b32490945aa8994d7ced26dbf30,298.15,101.325,1,COC(C)(C)C,1.0,0.7352700000000002,0.0,0.7449541385760767,0.00023291113967772686,9.378253996065353e-05,0.03571428571428571,0.04821932532357388,0.0014405279873958958,-0.7281227968558245,0.13481786649646965,-0.6750596894725553,-0.04935852550795192,,,,,,,-0.06654072840663237,-0.00455117362865729
0b24264e4f7041f1b0599746a6bcbe94,298.15,101.325,1,O=C1CCCCCC1,1.0,0.9476200000000002,0.0,0.933152771418666,0.0002994843071743202,0.00020930070282457322,0.03571428571428571,0.04821932532357388,0.0032149216722742293,-0.2155696635414593,-0.33085900749952074,0.860977163132938,0.007519008157510987,,,0.16788279152218186,0.016039148711929966,0.04982383794451018,-0.06964229241586826,,
82773b4722534a03929a3d1cb6d464c5,298.15,101.325,1,COC=O,1.0,0.9668300000000004,0.0,0.9997726439478294,0.0004381240408686289,0.001085217790273433,0.03571428571428571,0.04821932532357388,0.016669271273359484,,,-1.1563555803039416,-0.05354209062142618,,,-0.8138188892976788,0.129742475443359,-0.6929264510780376,-0.30393421696938727,-0.45485845270257924,0.10135560238823405
