Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
230170447d0d46ddad4442a098022ce3,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,65.77659993209731,0.16523229767706635,200.97598563474148,0.03571428571428571,25.6831695776047,0.01088150328026318,-0.46247451382161675,0.018099461007734647,-0.13479960618650547,-0.01259495669035737,-0.11986447276971786,-0.0034040406872216334,-0.034485779115870786,0.04612704056599169,-0.03267488384438084,0.05093335306842056,,
83129db40632430d910fcc337b265651,298.15,101.325,1,CO,1.0,37.83,0.0,32.607134511168915,0.1252821068521706,27.278323914422746,0.03571428571428571,25.6831695776047,0.0014769385019677771,,,,,0.042577416583155565,-0.0002786777334852393,,,-0.0011456599890658085,-0.04347688859622081,,
709af4a3f59c4ec0b6ba0e85cfaf0bd3,298.15,101.325,1,CCO,1.0,42.46,0.0,38.142578577861556,0.18856239337991693,18.64012773633995,0.03571428571428571,25.6831695776047,0.0010092380463611241,0.1382995952956263,-0.0032373457021008193,,,0.07022161385000145,0.007331208471122115,,,-0.00324657796559977,-0.03834743614037072,,
54bd07996f4a466b8928b27533e8f0ff,298.15,101.325,1,CCCO,1.0,47.5,0.0,43.41760116699201,0.20987410069435572,16.66598023174502,0.03571428571428571,25.6831695776047,0.000902351183838084,0.20705668560895252,-0.0036849603558146288,,,0.08903941913991688,0.011892778664506654,,,-0.0004993959842863921,-0.030799488591552782,,
4c72054638a14cff977fc8e3faca7e50,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,43.36471503071801,0.22865524062723652,4.474430501270297,0.03571428571428571,25.6831695776047,0.00024226043735080886,0.11882768782932127,-0.004016726842987743,,,0.04897460288666646,0.00585981476506332,,,-0.00021707553092104148,-0.01702461092262949,,
da8405b30dd84d94999d34c1ffdb7295,298.15,101.325,1,CCCCO,1.0,52.42,0.0,48.671337785616004,0.2832439820792383,14.05246839755034,0.03571428571428571,25.6831695776047,0.0007608470259807287,0.24105991062783255,-0.0064389200760643665,,,0.11013521978758817,0.01576235635992596,,,-0.0014999749983943163,-0.031018422312518806,,
25a40b62ddad4fb2acd4a5c1d70d8ff4,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,47.48426308046829,0.252298770692121,11.599043965061357,0.03571428571428571,25.6831695776047,0.0006280105284972612,0.2231477969444922,-0.006455539918671655,,,0.10146042028272,0.013782927115247682,,,-0.004808355464165215,-0.03602392009796747,,
e28e996ef67e4512b3307cd35153ee96,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,47.14510578498423,0.2462339788525197,0.15610858132800573,0.03571428571428571,25.6831695776047,8.45223390462767e-06,-0.0337303351347126,0.0009235046883206889,,,-0.011917555111441852,-0.0017449194685831742,,,-0.00013048883818552362,0.003048587424648565,,
2f9a38bbc9fc456ca87cc730f7c4e16c,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,42.37293610520083,0.238566342238236,45.60214604092497,0.03571428571428571,25.6831695776047,0.0024690507184933403,-0.45969449571251497,0.013453499484374033,-0.05971167998847443,-0.008062121684218998,-0.1723718980525917,-0.01767958496194039,-0.024115314326814796,0.0016185232386441378,,,-0.028388693407584847,-0.006131340053349196
94cd235148f048cca7ba1c7405b753e7,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,46.85053465344466,0.28495432086435574,49.28790682021738,0.03571428571428571,25.6831695776047,0.002668609973712152,-0.5607118223224412,0.017917921805516105,-0.06061382444943008,-0.009063503534288073,-0.22008134674463198,-0.02935492872875876,-0.024512991539308266,-0.0002201472403883606,,,-0.029279246310016258,-0.00735269681624437
afe950e41cb14224a1caf561d6d11c24,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,49.98605607424132,0.2885832971034746,49.365463958383316,0.03571428571428571,25.6831695776047,0.0026728091731871295,-0.6963122428051933,0.01900623234087993,-0.05757452073962487,-0.007950251530480821,-0.2663988548713617,-0.03727158152998138,-0.025717156565585375,-0.0028597427619191174,,,-0.02717133294389688,-0.005560232495008619
e05f04fc2fa847ceaaef6c50875aa85d,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,37.88633826014628,0.15010362628352522,84.04485744872875,0.03571428571428571,25.6831695776047,0.004550466012788661,,,-0.08521471644867697,0.0003782212541666711,-0.09606996494222345,-0.0111497583378574,-0.04752859902490342,-0.010106358314595,,,-0.04662155967166452,-0.004634041016224471
04f57481b00c4d7a84a422abc396e53c,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,61.7,0.0,76.69315506072516,0.3113342988916115,224.79469867494842,0.03571428571428571,25.6831695776047,0.01217112702938963,-1.1126892698549191,0.05112811800719016,-0.24282940681004378,-0.04024574157381312,-0.595996791461476,-0.06669825770650215,-0.09151399420923187,0.0288467723001119,,,-0.13005854389425267,-0.05385948850456323
