Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
8128bd8d41ed4acfa1fffe6b1fe6c4e3,298.15,101.325,1,CO,1.0,37.83,0.0,32.62652105069551,0.12956018161724991,27.076193175854957,0.08333333333333333,25.6831695776047,0.0034206537786211026,,,,,0.08997904919590262,0.007071296442549479,,,-0.0014167942646198574,-0.09422450338988733,,,alcohol
613efbee4e5046d58f86d85ea00b8c34,298.15,101.325,1,CCO,1.0,42.46,0.0,39.30958430787627,0.12524993853844602,9.925119033179438,0.08333333333333333,25.6831695776047,0.0012538836498767686,0.18559760150058832,-0.00994091765911058,,,0.11477869765468886,0.018328324755974814,,,0.0010187305390071991,-0.05568613257894859,,,alcohol
bc51d58275ed41e9a32cc4809fd121b0,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,45.48749584560892,0.15383742726077773,5.6187701392795605e-05,0.08333333333333333,25.6831695776047,7.098437798585826e-09,-0.0008838070284105701,4.403083278335312e-05,,,-0.00040118603610984904,-6.977238112033627e-05,,,8.203494303650079e-06,0.00016354210417848084,,,alcohol
b8203b23864c496c90ff7346a05c825a,298.15,101.325,1,CCCCO,1.0,52.42,0.0,51.02767686289432,0.23978608518551295,1.9385637181198143,0.08333333333333333,25.6831695776047,0.0002449072240110036,0.19609659673042765,-0.003799232896301978,,,0.08989541086566712,0.018080813227134562,,,-0.0024988913315464266,-0.030436091636295688,,,alcohol
37127229370348e08f63564af58ba2bd,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,49.85431851064844,0.2423290019797844,1.0726361473854664,0.08333333333333333,25.6831695776047,0.00013551081080007924,0.13024488124098266,-0.006766401430063361,,,0.06750128788021774,0.012242408170636687,,,-0.0011264708879351738,-0.022119734561541916,,,alcohol
20064c60953441a187cfff23332e4bf4,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,49.50280244604294,0.18261531761164473,7.577921306940005,0.08333333333333333,25.6831695776047,0.0009573519063157297,-0.41412852214405277,0.02662653985151817,,,-0.17861264057650234,-0.0331630061648479,,,0.004280603641093147,0.06102455960654773,,,alcohol
