Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
ff32f758b8c54a36ba12a585ae000671,298.15,101.325,1,CCCOC(C)=O,1.0,0.8820500000000001,0.0,0.8702218734377353,0.00022969318021385406,0.00013990457797295505,0.023809523809523808,0.04821932532357388,0.0014326508979845484,0.17457136107522578,-0.15532262284522685,0.10555608539869439,0.010861132873040065,0.3466940759014101,0.02381890325690548,0.032421216244295704,-0.02532074572490398,0.05275271213447826,0.0027002980419056225,,
7f68812082a3470ba6f8cea85b9ec704,298.15,101.325,1,CC(=O)O,1.0,1.0439000000000005,0.0,1.0752898263375783,0.00035023453163088124,0.0009853211975032934,0.023809523809523808,0.04821932532357388,0.010089886398708016,0.26229378464482994,0.3116699449427547,-0.3577629240583543,0.025468274122864183,-0.3283274182915468,0.024855727526946845,-0.11312534230956386,0.16443586054473958,,,-0.05446459471431312,0.23716903846001602
bcef1f7763bb4d31b4c5b59b99888804,298.15,101.325,1,CC(C)(C)O,1.0,0.7802700000000001,0.0,0.7956569158999794,0.0004029827694122662,0.00023675718091303624,0.023809523809523808,0.04821932532357388,0.0024244409493513527,-0.5656178693949486,0.22074016486071962,,,-0.5418238757879223,-0.07672366262990345,,,,,-0.022401302448445647,0.049753557754802905
9313df3b886044a498d495a45485984d,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,1.0496030000000005,0.0,1.0437227170259133,0.0003272029542193591,3.457772785533932e-05,0.023809523809523808,0.04821932532357388,0.0003540828583307214,-0.015795796814500645,-0.06226457257291164,0.04878742207803283,-0.0012184819823423513,0.12738173753584567,0.00020540342844388478,0.014307308370021431,-0.027571933558390792,0.024892390730739507,-0.008530350971942626,,
d609b0fe6fc0446f94ccf80e28204e0c,298.15,101.325,1,COC=O,1.0,0.9668300000000004,0.0,0.9899270041456332,0.000379536476255632,0.0005334716005033769,0.023809523809523808,0.04821932532357388,0.005462856030759479,,,-0.26824348727332714,0.07075867643924355,-0.2958140503230578,0.029787638739895712,-0.1261742794142799,0.12103377746817803,-0.16826562601273332,0.06973110859280143,,
6bcbbec6772046c89caec8c2cabdc203,298.15,101.325,1,CCCCO,1.0,0.8058400000000002,0.0,0.7862274460104357,0.0003415442994699636,0.0003846522739935831,0.023809523809523808,0.04821932532357388,0.003938916322346744,0.7512724050675091,-0.2367878154968971,,,0.7618732549327422,0.09519355288312024,,,,,0.032753265285694645,-0.0818332983573267
518d22a78f3549cc8f3b7fdd7da01b59,298.15,101.325,1,CC(C)O,1.0,0.7809870000000001,0.0,0.7863117789870238,0.0003557272351147115,2.835327126064871e-05,0.023809523809523808,0.04821932532357388,0.0002903431761912765,-0.25461294365082215,0.0491871965617019,,,-0.1700765672420693,-0.021174982172978394,,,,,-0.01093570536166711,0.017972837902556275
ca3e98a10b0d485eb2676417c01c1807,298.15,101.325,1,CC(C)CO,1.0,0.7978300000000003,0.0,0.7942728065297229,0.0003469362882228303,1.2653625384984076e-05,0.023809523809523808,0.04821932532357388,0.00012957565816082076,0.0841462468909921,-0.052028316345570584,,,0.14251332876388023,0.016851908831954813,,,,,0.008234002089575001,-0.012898993170078596
598c36b6394142a8a1749f4d0b4b6a1d,298.15,101.325,1,CO,1.0,0.7865600000000001,0.0,0.7931112337329338,0.0004889128852944173,4.291866342352774e-05,0.023809523809523808,0.04821932532357388,0.00043949570903891187,,,,,-0.17067399737621858,0.01784456071521712,,,,,-0.05489241363673979,0.06446645476766304
1dcfe42a5aff48e2a8244188e5da071d,298.15,101.325,1,CCCCOC(C)=O,1.0,0.8763500000000002,0.0,0.8613285191073602,0.0002101595263895561,0.0002256448882079484,0.023809523809523808,0.04821932532357388,0.0023106488465247485,0.18661068520594146,-0.21700730578466212,0.10087448498544199,-0.00040697756321322523,0.47869545868945274,0.04292026434091199,0.03621727393166189,-0.033328304793401944,0.05245965151221362,-0.004227918983742481,,
bd9fc99565464138a3baab3be67b291f,298.15,101.325,1,CCO,1.0,0.7856450000000001,0.0,0.7844856892892942,0.0003554282478153511,1.344001323957565e-06,0.023809523809523808,0.04821932532357388,1.376284272865212e-05,0.02451957786329667,-0.01095112061420098,,,0.037416100151628946,0.002647126692293078,,,,,0.0009297547090086721,-0.0125400395828933
94b08446226d4ab58d2358867d930dba,298.15,101.325,1,CCOC(C)=O,1.0,0.8944000000000002,0.0,0.8896903058496787,0.0002565838310460833,2.218121898957274e-05,0.023809523809523808,0.04821932532357388,0.00022714012482097834,0.08225571802563109,-0.05394941398487736,0.04637320528227886,0.0018195743134322526,0.12103120963496954,0.0016481945907236676,0.014167662036214728,-0.015475626218142904,0.02297549450159621,-0.002954977191594684,,
