Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
1735edba12c64586acbcf14a2f3a1176,298.15,101.325,1,CC(C)(C)O,1.0,0.7802700000000001,0.0,0.8093856917036377,0.0004439763434053966,0.0008477235033812709,0.007874015748031496,0.04821932532357388,0.0028708350790674713,-0.42045623905389773,0.11790172453330786,-0.341452917538194,-0.029725986096498326,0.011119931714867757,0.07954139124383232,,,,,,
293d3dc64c474dcabe97a9530d664671,298.15,101.325,1,CCOC(C)=O,1.0,0.8944000000000002,0.0,0.9008475622290637,0.00027190612306463035,4.157105869764639e-05,0.007874015748031496,0.04821932532357388,0.00014078134333559978,-0.04629956473385919,0.02365499877977691,-0.06329871027489611,-0.00013671897378756241,,,-0.02112641367569796,-0.0011125667179229654,-0.007505663697717471,0.006553481927198097,-0.009981727606081257,0.001400463375188941
6bce57dafd0a4f7db22c97be283f7072,298.15,101.325,1,CCCCCC,1.0,0.6549610000000001,0.0,0.6345865667901103,0.0002377939895717538,0.00041511752862426253,0.007874015748031496,0.04821932532357388,0.0014058050276498414,0.6122514415841648,-0.1003179840279891,0.3752889357298905,0.04386617103169738,,,,,,,,
c9baf2c4d6454369a7a204c872e6f1b0,298.15,101.325,1,C1CCOCC1,1.0,0.8788100000000002,0.0,0.8843286460992853,0.000231168030542339,3.0455454769154608e-05,0.007874015748031496,0.04821932532357388,0.00010313809579598052,-0.05818244930046915,0.01497545915677178,-0.08673625675723609,-0.009678661253303581,,,,,,,-0.009012792632756703,-0.0005877483724098044
7d238e2f6d6249d3ba20d952649e4c2e,298.15,101.325,1,CCCOC(C)=O,1.0,0.8820500000000001,0.0,0.8845942815121189,0.00031885729588303213,6.473368412909674e-06,0.007874015748031496,0.04821932532357388,2.1922210538440287e-05,-0.023788942155910105,0.011022433733708321,-0.0308333627605157,-0.0011838833986425907,,,-0.007589836533160381,-0.000368190866708988,-0.002483916629266843,0.003073953797430041,-0.004162910460487184,-0.000520111482860535
efcc795e1d64433d8e9a6c1c9c5a299f,298.15,101.325,1,CCCCOCCCC,1.0,0.7640700000000002,0.0,0.763161162202038,0.00019836052864020384,8.25986143004867e-07,0.007874015748031496,0.04821932532357388,2.7972210098031384e-06,0.01230775315532645,-0.003312772786467651,0.012706799109455469,0.0011638340424353546,,,,,,,0.0007954254289272894,9.380740506512301e-05
98dfde7944bf44bea8000f1e4d6ea8e4,298.15,101.325,1,CC(C)CC(C)(C)C,1.0,0.6877900000000001,0.0,0.7017415126411044,0.00018752653148390293,0.0001946447049748925,0.007874015748031496,0.04821932532357388,0.0006591687558122808,-0.2690447892818457,0.06287243886967485,-0.20161278883079606,-0.025504384905425805,,,,,,,,
6592c1fb6333488eb660fc3dafe00290,298.15,101.325,1,CC1CCCCC1,1.0,0.7667000000000003,0.0,0.7566682891037968,0.00024842360066340145,0.00010063522350500746,0.007874015748031496,0.04821932532357388,0.0003408034915578273,0.18270859347149496,-0.043384033961097385,0.15482111741921,0.01985816263308663,,,,,,,,
5b239b41217b4d08847e93517e72377b,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7933861499673257,0.00028631363752343775,3.886088622987605e-05,0.007874015748031496,0.04821932532357388,0.00013160328214021657,0.08438355531532529,-0.01563349812627698,0.07174241987309814,0.007066387720537841,0.005438225767929708,-0.006382105138535044,,,,,,
87ff75ca440e4c8c8fe9335cb745f360,298.15,101.325,1,CCCCCCC,1.0,0.6796000000000002,0.0,0.6626706512040248,0.00020524964318794595,0.00028660285065579396,0.007874015748031496,0.04821932532357388,0.0009705871243885193,0.4965994468630443,-0.06356441950271506,0.28717287552751936,0.04464661517929464,,,,,,,,
