Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
e5dd5fbd8a2543cb95812dc0fc77c697,298.15,101.0,2,C1CCOCC1,0.5,O=C1CCCCC1,0.5,0.08657999999999999,0.0,0.07692921759472426,0.03862004796616168,9.313760103397953e-05,0.010638297872340425,1.5943650773897426,3.8978188155573406e-07,0.0002902031426119068,-4.359718306640355e-05,-5.2453972454079956e-05,-8.761823826165066e-05,-9.089367772836788e-05,-9.52836627120144e-05,-0.00012300882706160922,-8.655931162676736e-05,-1.5326621763616744e-05,-0.00010435263882395219,,
f664213a4d414730806e516b6d5fcef7,298.15,101.0,2,C1CCOCC1,0.25,O=C1CCCCC1,0.75,0.05827,0.0,0.06482466608368043,0.042021372046997005,4.296364746855047e-05,0.010638297872340425,1.5943650773897426,1.7980333574062338e-07,0.0015475713928836657,-0.00037277698407456886,0.001815338474569881,0.0004122086899094793,0.00012493112165939371,0.00013195739862330107,0.000274801963575356,-1.255862806294123e-05,0.00015213326838673367,-8.864140568128284e-05,,
2dd42470be3d4f22b2648bb048f62745,298.15,101.0,2,C1CCOCC1,0.75,O=C1CCCCC1,0.25,0.07697999999999999,0.0,-0.0005807246055837822,0.04284039815389385,0.006015666001343209,0.010638297872340425,1.5943650773897426,2.517562817576715e-05,0.04440523833083574,0.002942048816010667,0.010669265749521057,0.00041702849611805815,-0.0003091399472505334,-0.0017312499435907212,9.800539147094756e-05,-0.0002284459651235067,0.0007143646735640388,0.0003082761474017188,,
2a91772ddfd8435aa11f4c7869c2f137,303.15,101.0,2,CCO,0.2383,CC(C)CC(C)(C)C,0.7617,0.634022,0.0,0.9621586990732567,0.048356792669505023,0.10767369327869303,0.010638297872340425,1.5943650773897426,0.0004506155869841682,0.7352791471079863,0.1013793381067037,0.059534566895697444,0.050852242463374456,,,,,,,-0.011659033027396903,-0.030078309614827874
e1ceeaa2f1d848b0901b7830e085f4da,303.15,101.0,2,CCO,0.738,CC(C)CC(C)(C)C,0.262,0.46121,0.0,0.7120080656131904,0.04157016775333228,0.06289966971531816,0.010638297872340425,1.5943650773897426,0.000263235807436422,0.08465131191371447,-0.0032070425965770775,0.0371409822679213,0.0071419620499400495,,,,,,,0.010603247875553853,0.012876038908739068
c38755b1caf941ca925333aab420ed17,303.15,101.0,2,CCO,0.4842,CC(C)CC(C)(C)C,0.5158,0.6389729999999999,0.0,1.003563435743061,0.04128287251798335,0.13292618583531512,0.010638297872340425,1.5943650773897426,0.0005562975452203623,0.20285817155223704,0.04104568201140656,-0.011723021566742348,0.008164687525743026,,,,,,,-0.002252339220676455,-0.013771018727395317
9b7e919903724d77bc8df6a3ab20f0b9,298.15,101.3,2,CCCCO,0.2499,CCCCCCC,0.7501,0.5981,0.0,0.9452487325784205,0.052939577584771046,0.12051224253080371,0.010638297872340425,1.5943650773897426,0.0005043450563754613,0.1338010559258894,0.0381362617513217,0.019185554342608536,0.03939282422618842,,,,,,,0.0012219411357331823,-0.005277102870436607
9f4895b5bfbd4578a5466bddd4599c4a,313.15,101.3,2,CCCCO,0.7501,CCCCCCC,0.2499,0.4805,0.0,0.6488247249914707,0.058051595957487344,0.028333213043454247,0.010638297872340425,1.5943650773897426,0.00011857480725285102,-0.06387303590030917,-0.0038849466205497464,-0.015387458773709384,-0.010976388310807932,,,,,,,0.003011458034038409,-0.00019331017716781403
5b389a74832b49158c5054bd7e362f1f,298.15,101.3,2,CCCCO,0.4999,CCCCCCC,0.5001,0.5751,0.0,0.8613328620360363,0.04362153230918549,0.08192925130934063,0.010638297872340425,1.5943650773897426,0.00034287481506160595,0.1706183483518582,0.021476428654120184,0.01598258263642465,0.006637138640883026,,,,,,,-0.001154604330813063,-0.00906104272041382
1b5f66e1e6894b39901ce1fb64fd1b6f,303.15,101.0,2,CC(C)OC(C)C,0.2252,CC(C)CC(C)(C)C,0.7748,0.132161,0.0,0.22916575090857805,0.0524311344381699,0.009409921698835273,0.010638297872340425,1.5943650773897426,3.9380625486864396e-05,0.1107123968668586,0.011950930198051098,0.012426451470363007,0.006743414311329164,0.00018967833408720916,0.0003506462628062045,,,,,,
bdc9be3207fe49ea9936ec76d3864c57,303.15,101.0,2,CC(C)OC(C)C,0.4875,CC(C)CC(C)(C)C,0.5125,0.197047,0.0,0.3778032842729715,0.04600115219267404,0.03267283430417128,0.010638297872340425,1.5943650773897426,0.0001367361698117217,0.09999697601076872,0.013544203175273599,-0.008455967006644846,-0.0031507318297151936,-0.0007710740579971056,0.000500259942541446,,,,,,
