Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,Environment 1,Environment 2
f17f41c5d44a48d283a58de5ca9553ff,298.15,100.8,2,CC(C)OC(C)C,0.25,CC(C)CC(C)(C)C,0.75,0.6937500000000002,0.0,0.7109513318278106,0.00019555186442634466,0.0002958858166504418,0.010101010101010102,0.04821932532357388,0.001285424857544209,-0.353278826006058,0.11025095940346182,-0.314295673189383,-0.034777201157799725,,,-0.006263399164382178,-0.0020278341752244453,,,,,ether,alkane
d636a845f12947a08dd384a44b1ba54b,298.15,100.8,2,CC(C)OC(C)C,0.5,CC(C)CC(C)(C)C,0.5,0.7007600000000002,0.0,0.7177518021702944,0.000199114993935123,0.00028872134099441736,0.010101010101010102,0.04821932532357388,0.0012543000297177906,-0.37612764201502874,0.0979752341111502,-0.2993398220111538,-0.030275568692970444,,,-0.012794160641956438,-0.004107492178518288,,,,,ether,alkane
ef9b17646beb45ff83c4c450473b767d,298.15,100.8,2,CC(C)OC(C)C,0.75,CC(C)CC(C)(C)C,0.25,0.7090800000000002,0.0,0.7263755627196883,0.0002073622017824586,0.00029913648979066585,0.010101010101010102,0.04821932532357388,0.001299546845902751,-0.3654548453373866,0.09771047000805318,-0.31239163540786447,-0.038305916196070704,,,-0.016959503573956224,-0.0038557425160745725,,,,,ether,alkane
74d5c6511c384f3895c2b9c77071cd50,298.15,100.0,2,C1CCOCC1,0.2378,C1CCCCC1,0.7622,0.7952000000000002,0.0,0.7820766853113481,0.00021030605512352188,0.0001722213884173928,0.010101010101010102,0.04821932532357388,0.0007481860948205827,0.3555416991875991,-0.05590456986971298,0.2505476334572025,0.030889826133475372,,,0.005805923892003536,0.0006208304977360527,,,,,ether,alkane
5330cce2645d46cbaa85dd8a34f5c0e6,298.15,100.0,2,C1CCOCC1,0.4982,C1CCCCC1,0.5018,0.8211500000000002,0.0,0.8159110303999775,0.00031137988753881434,2.7446802469961802e-05,0.010101010101010102,0.04821932532357388,0.00011923789573420234,0.10480775999669781,-0.0314947050930921,0.12212076691675829,0.013470864709288167,,,0.005091957619967603,-0.0009777432353367816,,,,,ether,alkane
912330eaca1847e3b56d680cdf0b2b56,298.15,100.0,2,C1CCOCC1,0.7341,C1CCCCC1,0.2659,0.8470300000000002,0.0,0.8475026946743943,0.00022813116724588803,2.23440255200589e-07,0.010101010101010102,0.04821932532357388,9.7069762066417e-07,-0.003934729390443273,0.0022051405251500445,-0.007924592110069262,-0.0006384659189649041,,,-0.0005628580297591027,-2.076395621552882e-06,,,,,ether,alkane
63cf132ba60f4f1b8618fd6cfd3c6249,308.15,101.0,2,C1CCOCC1,0.4964,CCCCCCC,0.5036,0.7476123760634982,0.0,0.7409637462380215,0.0002214635427643718,4.420427855621765e-05,0.010101010101010102,0.04821932532357388,0.00019203785808056834,0.11636842012870273,-0.03290175671977739,0.12106149311241275,0.013534992092648928,,,0.004368753382520291,-0.0014413548725922905,,,,,ether,alkane
bc585347bdca4681aec8c3d07beef2b1,308.15,101.0,2,C1CCOCC1,0.7123,CCCCCCC,0.2877,0.7924440593876021,0.0,0.7908126868940387,0.0002184595052409035,2.6613762127551893e-06,0.010101010101010102,0.04821932532357388,1.1561889575781654e-05,0.033112650503585125,-0.00625544234321905,0.029104773192446896,0.0026041027622482338,,,0.0019218014172980586,-6.239735703134717e-05,,,,,ether,alkane
875955cc84a447e7aaa39a44f639df41,308.15,101.0,2,C1CCOCC1,0.2613,CCCCCCC,0.7387,0.7074964833700644,0.0,0.6969471662059054,0.00019448752461259896,0.00011128809263002132,0.010101010101010102,0.04821932532357388,0.00048347190897735207,0.29260696975245476,-0.04718511394256978,0.1926287916677453,0.025136628173453,,,0.004003201220652388,0.0007266780920914521,,,,,ether,alkane
8ac3be195dc545c3b5bbc756eaafd9e5,298.15,101.0,2,COC(C)(C)C,0.7973,CCCCCCCCCC,0.2027,0.7314400000000002,0.0,0.7372358328627999,0.00020921824589568885,3.3591678573509216e-05,0.010101010101010102,0.04821932532357388,0.00014593324929811048,-0.10186112331105664,0.029817076947111217,-0.10241722819737575,-0.012231914845666865,,,-0.006620371038697171,-0.0004243646097952733,,,,,ether,alkane
316bb94f63a94c328460e340e52c2fe7,298.15,101.0,2,COC(C)(C)C,0.2041,CCCCCCCCCC,0.7959,0.7266200000000002,0.0,0.721958924177471,0.00018927282528796233,2.1725627823365984e-05,0.010101010101010102,0.04821932532357388,9.438324001485059e-05,0.08707152782751872,-0.027780588640872655,0.08340048992287982,0.009495380103188076,,,0.0010157688596543364,0.00010251852596293523,,,,,ether,alkane
