Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x,Binary Density,Slope,1.2434146736815663,,1.1237117913173655,,ether > ketone
h_mix_rho_x,Binary Density,Intercept,-0.21405723600925664,,-0.22395409718766823,,ether > ketone
h_mix_rho_x,Binary Density,R,0.9999647178548272,0.3128731654126219,0.0,0.9999999953199209,ether > ketone
h_mix_rho_x,Binary Density,R^2,0.9999294369544842,0.3128566661124863,0.0,0.9999999906398418,ether > ketone
h_mix_rho_x,Binary Density,p,0.005347784387438509,0.31163051656121954,6.69854816626405e-05,1.0,ether > ketone
h_mix_rho_x,Binary Density,RMSE,0.017455429931406155,0.00344608276827107,0.0065428896167452,0.021906210015479325,ether > ketone
h_mix_rho_x,Binary Density,MSE,0.011772350263307807,0.007328870190795438,-0.006328108939437545,0.021905439233390833,ether > ketone
h_mix_rho_x,Binary Density,MUE,0.01604570372152218,0.003906183048020991,0.006531944421558948,0.021905439233390833,ether > ketone
h_mix_rho_x,Binary Density,Tau,1.0,,0.816496580927726,,ether > ketone
h_mix_rho_x,Binary Density,Slope,1.1491416478423861,,-0.3333333333333333,,ether ~ ketone
h_mix_rho_x,Binary Density,Intercept,-0.13736102159274732,,-0.216728152744583,,ether ~ ketone
h_mix_rho_x,Binary Density,R,0.9951775107270749,0.31928791062785145,-1.2756865264260177e-13,0.9999999620491462,ether ~ ketone
h_mix_rho_x,Binary Density,R^2,0.9903782778569373,0.3184729959659378,0.0,0.9999999240982939,ether ~ ketone
h_mix_rho_x,Binary Density,p,0.06254684994631018,0.312040200091978,0.0001767586585218155,1.0,ether ~ ketone
h_mix_rho_x,Binary Density,RMSE,0.008242172000856442,0.0027915355491242573,0.0005224755761918519,0.012637442273061782,ether ~ ketone
h_mix_rho_x,Binary Density,MSE,-0.006544905159581134,0.0029056818045111116,-0.012622429758318584,-0.0005005284632321194,ether ~ ketone
h_mix_rho_x,Binary Density,MUE,0.006544905159581134,0.002904356839205736,0.0005037605542393964,0.012635067633803251,ether ~ ketone
h_mix_rho_x,Binary Density,Tau,1.0,,0.816496580927726,,ether ~ ketone
h_mix_rho_x,Binary Density,Slope,0.9839230518686024,,0.0,,ether < ketone
h_mix_rho_x,Binary Density,Intercept,-0.005562639805655301,,-0.24319486327157247,,ether < ketone
h_mix_rho_x,Binary Density,R,0.9824670235486337,0.3258383511268546,0.0,0.9999998211421154,ether < ketone
h_mix_rho_x,Binary Density,R^2,0.9652414523605115,0.32457256993931766,0.0,0.9999996422842627,ether < ketone
h_mix_rho_x,Binary Density,p,0.11938768600330214,0.31837536552018153,0.0003861484054413315,1.0,ether < ketone
