Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment,Iteration
h_mix_rho_x,Binary Density,Slope,0.8920402691847362,0.9235754319755947,0.5734952265803697,1.5239653950294068,alkane > ether,0
h_mix_rho_x,Binary Density,Intercept,0.08530435371370448,0.6417794396975662,-0.349771282616387,0.3193393658431884,alkane > ether,0
h_mix_rho_x,Binary Density,R,0.9504189487382572,0.14683488183579377,0.5170227528396018,0.9992151193666245,alkane > ether,0
h_mix_rho_x,Binary Density,R^2,0.9032961781207339,0.1950460284336936,0.2736491755508344,0.9985611595494375,alkane > ether,0
h_mix_rho_x,Binary Density,p,0.0010235500843901238,0.07342181463905267,3.313448615163468e-08,0.2313261991638458,alkane > ether,0
h_mix_rho_x,Binary Density,RMSE,0.013448966432161485,0.004432484252961254,0.0026096334085894367,0.019913472940414113,alkane > ether,0
h_mix_rho_x,Binary Density,MSE,0.007986880319374636,0.004079674563610666,0.0006902796201511922,0.01671805028907114,alkane > ether,0
h_mix_rho_x,Binary Density,MUE,0.008780278819922256,0.00383043179639265,0.002035105129065732,0.016856916775627426,alkane > ether,0
h_mix_rho_x,Binary Density,Tau,0.7142857142857143,0.21294002800513706,0.2182178902359924,0.9511897312113418,alkane > ether,0
h_mix_rho_x,Binary Density,Slope,0.8910916542905332,0.2375578662022696,0.48190794161064177,0.9800306190769427,alkane ~ ether,0
h_mix_rho_x,Binary Density,Intercept,0.09194442252995749,0.17347120373211966,0.02286663477341544,0.3912793030791543,alkane ~ ether,0
h_mix_rho_x,Binary Density,R,0.9830355984491612,0.05838604413715119,0.882405701704269,0.9994805491591251,alkane ~ ether,0
h_mix_rho_x,Binary Density,R^2,0.9663589878183005,0.06837308467621288,0.7793692379519978,0.9989613681474263,alkane ~ ether,0
h_mix_rho_x,Binary Density,p,7.134143364930815e-05,0.010549169092079922,1.1947802986557081e-08,0.008540768064770115,alkane ~ ether,0
h_mix_rho_x,Binary Density,RMSE,0.014036366709584067,0.0033787306861214686,0.006839480607071232,0.01983740804974241,alkane ~ ether,0
h_mix_rho_x,Binary Density,MSE,0.011663482416757964,0.002872443272269773,0.006489743437303416,0.017484481108532655,alkane ~ ether,0
