Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment,Iteration
h_mix_rho_x_rho_pure,Pure Density,Slope,0.9570915559260239,0.1823218059924439,0.6442141637339233,1.1799133617750603,alkane,0
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.034025693822599457,0.13034615008901065,-0.11943195709280952,0.2708524357218736,alkane,0
h_mix_rho_x_rho_pure,Pure Density,R,0.9665291085637757,0.08336615990211325,0.8932079540788792,0.999979469598715,alkane,0
h_mix_rho_x_rho_pure,Pure Density,R^2,0.934178517701087,0.06328581274256749,0.8007076981955953,0.9999589396189273,alkane,0
h_mix_rho_x_rho_pure,Pure Density,p,0.0016617021308668945,0.009600109432102566,6.834676793194979e-10,0.016128555402732402,alkane,0
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.011931339824588978,0.004976930190747184,0.0036294345092726266,0.019627268150231456,alkane,0
h_mix_rho_x_rho_pure,Pure Density,MSE,0.003353443593791694,0.00471559581913898,-0.004155549050793572,0.013741839559206492,alkane,0
h_mix_rho_x_rho_pure,Pure Density,MUE,0.008255397600919442,0.003550974475767116,0.0034892521860059125,0.016087877112199462,alkane,0
h_mix_rho_x_rho_pure,Pure Density,Tau,0.8666666666666666,0.1961738001216826,0.29814239699997197,0.9660917830792959,alkane,0
h_mix_rho_x_rho_pure,Pure Density,Slope,0.9615742231790654,0.23415693620914813,0.635752543032176,1.1949656700396518,alkane,1
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.02092535373413007,0.16383838642625442,-0.1353539990938274,0.2679509640951555,alkane,1
h_mix_rho_x_rho_pure,Pure Density,R,0.9640906701571361,0.055088050752322176,0.8930701280907289,0.9999657727196055,alkane,1
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9294708202840358,0.06216599418684646,0.7979558352502077,0.9999315466107177,alkane,1
h_mix_rho_x_rho_pure,Pure Density,p,0.0019110677738653872,0.008021925923825739,1.791950595919969e-09,0.016539678315407414,alkane,1
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.013575502435168346,0.001887079211941468,0.009052463145269469,0.016685943485984345,alkane,1
