Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Iteration
h_mix_rho_x_rho_pure,Pure Density,Slope,1.0978222640141941,0.047049409401845745,0.9942477401068566,1.18085663135103,0
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.06478964402853649,0.037016293911339954,-0.1307468391051464,0.015828394318134875,0
h_mix_rho_x_rho_pure,Pure Density,R,0.9840106142149009,0.005171717650863548,0.9726748456470427,0.9927576587572475,0
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9682768888875865,0.010164174334321489,0.9460963553544982,0.9855677690211715,0
h_mix_rho_x_rho_pure,Pure Density,p,5.183904150112027e-21,6.6827061939610934e-18,1.9322685832009723e-25,5.45301636317494e-18,0
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.029295410084030762,0.004798997077079332,0.019511772931755295,0.03828466970591157,0
h_mix_rho_x_rho_pure,Pure Density,MSE,0.016616842267689332,0.00440233917277697,0.008437226488019613,0.025425284045599513,0
h_mix_rho_x_rho_pure,Pure Density,MUE,0.021614040301358498,0.0036160000395591275,0.015261637605979943,0.0291078198116991,0
h_mix_rho_x_rho_pure,Pure Density,Tau,0.8730158730158729,0.05754076207291282,0.7134335715693898,0.9421633679539,0
h_mix_rho_x_rho_pure,Pure Density,Slope,1.043586456621065,0.04739348539833364,0.9380173677278898,1.1223313789559304,1
h_mix_rho_x_rho_pure,Pure Density,Intercept,-0.03426107802775513,0.037267027417163215,-0.09484792726786573,0.050324799158491196,1
h_mix_rho_x_rho_pure,Pure Density,R,0.9831471554969181,0.005476872774996333,0.9709488375425794,0.9921714865145418,1
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9665783293616813,0.010748412185609872,0.9427416451252864,0.9844042586524756,1
h_mix_rho_x_rho_pure,Pure Density,p,1.0220948469674803e-20,4.911006459196313e-16,5.426973113670538e-25,1.2282316612786562e-17,1
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.021758676964847116,0.0028223560230554562,0.015911978757342148,0.02719583376580991,1
h_mix_rho_x_rho_pure,Pure Density,MSE,0.0020110356815423724,0.004195392940736402,-0.00579554715997196,0.010989505109029194,1
h_mix_rho_x_rho_pure,Pure Density,MUE,0.01703160604762998,0.0025700695466290037,0.012214607450175346,0.02273826763748866,1
