Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol)
fa3ae1e1079c47d7975a163e1930b7fa,298.15,101.325,1,CCOC(=O)CC,1.0,39.25,0.0,46.80643926585273,0.2655430100946081
84aafb4133ca46e08e7fa171b2d28d27,298.15,101.325,1,CCOC(=O)CC,1.0,39.25,0.0,46.80643926585273,0.2655430100946081
9275c76cc3ac4d4c9445bddbc3178d46,298.15,101.325,1,CCCO,1.0,47.5,0.0,45.49683082992253,0.22203856051117205
20d6b2283a0e4c1ab398e23bc0cbae75,298.15,101.325,1,CCCO,1.0,47.5,0.0,45.49683082992253,0.22203856051117205
1d2109b6f96541ba85e4aaece6e0757d,298.15,101.325,1,CC(=O)OCCOC(C)=O,1.0,61.44,0.0,80.97128096851458,0.22046095519661782
0d9bcb246cd04b68aa0f9ebc8858c0ad,298.15,101.325,1,CC(=O)OCCOC(C)=O,1.0,61.44,0.0,80.97128096851458,0.22046095519661782
2f0bcb0abef2405ea9c32a35be4e8c3f,298.15,101.325,1,CCC(=O)OC,1.0,35.85,0.0,43.43619058118967,0.18796186615493288
4095b1a330b546389338bc9a4e882e45,298.15,101.325,1,CCC(=O)OC,1.0,35.85,0.0,43.43619058118967,0.18796186615493288
c4f89e700bf74dfdadecae18a62c1b3d,298.15,101.325,1,O=CO,1.0,46.3,0.0,64.05702336453784,0.07773171865374401
2546b4ed0b1d49ed943f8bee8b147dd8,298.15,101.325,1,O=CO,1.0,46.3,0.0,64.05702336453784,0.07773171865374401
cc047b778bdc4eefb439fec18c62a642,298.15,101.325,1,CCCOC=O,1.0,37.49,0.0,44.04010169124934,0.21858950806827945
3728e7de23e641fb894bf36e752244eb,298.15,101.325,1,CCCOC=O,1.0,37.49,0.0,44.04010169124934,0.21858950806827945
6341cb3cf09744de8973ceeda3fb7559,298.15,101.325,1,CCCCCCO,1.0,61.85,0.0,60.7055273622834,0.328309559298494
8997ca8bac8b404cbd5405a6628dd9b5,298.15,101.325,1,CCCCCCO,1.0,61.85,0.0,60.7055273622834,0.328309559298494
f681182c79c84bbb9cd11f5249cddcd5,298.15,101.325,1,OCCCO,1.0,70.5,0.0,76.49691266650733,0.27295203046478567
d0cd031bb1a14f61a3a5d84110951760,298.15,101.325,1,OCCCO,1.0,70.5,0.0,76.49691266650733,0.27295203046478567
3612dec0406742458ab0399762ec2c35,298.15,101.325,1,CCCCC(=O)OC,1.0,44.32,0.0,52.12660625642737,0.29174472139553465
43ae7c6e6ff34b15856945fce7fb5940,298.15,101.325,1,CCCCC(=O)OC,1.0,44.32,0.0,52.12660625642737,0.29174472139553465
2bf8cf258b7846f89916bb1143a21b5f,304.0,101.325,1,CCOC=O,1.0,31.63314346416,0.0,40.77280414461502,0.2262716468632476
80001a2c4e4544c48b952c5c70ceee52,304.0,101.325,1,CCOC=O,1.0,31.63314346416,0.0,40.77280414461502,0.2262716468632476
d7564e9838ed4e2fb76492af17e027fd,298.15,101.325,1,CCCC(=O)O,1.0,58.0,0.0,73.37532184561681,0.24569673544715576
