Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol)
998312d12caa4baa9a79ec7bc058c651,298.15,101.3,2,OCCO,0.7436,CO,0.2564,0.08238,0.0,0.18688466299541773,0.033250673139711646
05cc390e952348f0a66c483cfb492b28,298.15,101.3,2,OCCO,0.2374,CO,0.7626,0.10027,0.0,0.2797731588382888,0.0260900725662765
b08c347a1e4944f199603887bc7d1ec9,298.15,101.3,2,OCCO,0.5212,CO,0.4788,0.11785,0.0,0.26307026046178805,0.03396763251480662
67fd1b1ec5d0464c8b65925b5233886c,298.15,101.0,2,CCCCCCO,0.738,CCCCCC(=O)O,0.262,0.4,0.0,0.24138858709985556,0.05343873725126963
e7a08a269c7743469364b9e6c4751cd9,298.15,101.0,2,CCCCCCO,0.256,CCCCCC(=O)O,0.7440000000000001,0.58,0.0,-0.020191499289603954,0.05654702319426809
632d145ba57b4ed98199bd2bf4eb48f2,298.15,101.0,2,CCCCCCO,0.506,CCCCCC(=O)O,0.494,0.624,0.0,0.3071589631209939,0.04838369926732682
7eb5269639a94ecfb54f879d1917ffeb,298.15,101.3,2,CCC(C)(C)O,0.2702,CCCCO,0.7298,-0.6497,0.0,-0.6278591340501976,0.05129668325539878
a9f1bcb8cc6b4606871f73e71a2d1fc1,298.15,101.3,2,CCC(C)(C)O,0.7313,CCCCO,0.2687,-0.6067,0.0,-0.5308052184609471,0.06490542309395858
166c83affdea4afa9ada8e440b859526,298.15,101.3,2,CCC(C)(C)O,0.4609,CCCCO,0.5391,-0.8,0.0,-1.0270010402463878,0.06859470160603622
4c3a0a78881a4c47ad6fa85f7b486927,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.499,CCCO,0.501,2.025,0.0,2.1464223634271207,0.04128595631001091
d56eb7a3f0bc487586ee6638ef4cb7d4,298.2,101.3,2,CCOC(=O)C(=O)OCC,0.2491,CCCO,0.7509,1.588,0.0,1.8575128407953514,0.04385158130507431
