Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol)
5de7210f48ea4d19be2842fc37982dc5,298.15,101.325,1,CCCCO,1.0,52.42,0.0,54.61031750062278,0.2763231927515998
09f294796c93430a85ff810dcbcd048f,298.15,101.325,1,CCCO,1.0,47.5,0.0,48.68192596808217,0.23037211556231327
07e3edf4d4d14d76bb9c8df57dfca568,298.15,101.325,1,C1CCOCC1,1.0,34.94,0.0,41.443748706747904,0.17124309244804625
cc60bc98c0a741118aa7c02888e56746,298.16,101.325,1,O=C1CCCC1,1.0,42.63,0.0,45.39214090073047,0.2522418209326265
a06a99f886784088ba7caed942c5fa6f,298.15,101.325,1,CC(C)(C)O,1.0,46.75,0.0,52.59317405403763,0.2316817109142043
a88074bee77848ac8905af045630488d,298.15,101.325,1,CC(C)CO,1.0,50.89,0.0,53.29465685815537,0.23645905832343705
cf3ad1b9915e4f17ab540235d55f6011,298.15,101.325,1,COC(C)(C)C,1.0,32.42,0.0,34.928540583574815,0.2714942407311583
88cec6c9ea9e45b9a165593f7f35b321,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,38.30567141757361,0.11622204981484278
a2d4c9f179a443b1a7e29dfbc32c656f,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,67.66436556417518,0.11240781213244092
0a5fb66f38ae4317ac7e1569893b5f4e,298.15,101.325,1,CO,1.0,37.83,0.0,36.00289627007109,0.09324893084915968
aac032810be04c17a234fa2eca70f46c,298.15,101.325,1,CC(C)OC(C)C,1.0,32.12,0.0,37.7668781954057,0.2168707911942896
f5943cdf0562498e9772f6f7c297df93,298.15,101.325,1,CC(C)O,1.0,45.48,0.0,48.56349957543036,0.2300208017835449
771f878b50e648fa9c9871eb622b3991,298.15,101.325,1,CCO,1.0,42.46,0.0,42.89009343845017,0.17529714661075346
cf756b8f9e014625927ca0ca0c66fc5f,298.15,101.325,1,CCCCCCC,1.0,36.58,0.0,38.747372165512395,0.32555923295693423
ec0cdf538d6441a88d7543b950e8bcc3,298.15,101.325,1,CCCCCC,1.0,31.55,0.0,33.731058977087955,0.30817341501497275
55a515d11b8d46a690e6ce3e35bfb285,298.15,101.325,1,CC(C)CC(C)(C)C,1.0,35.13,0.0,41.42597236944108,0.3205905798970685
70566af0dd304cbfafae63566d5e5ac1,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,44.84487178910387,0.2492407684912027
674c8b83f0be43ceb3e12abd123887a7,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,53.080802722037134,0.32595387088267574
664ed486364b4e89b9dfcb2a45870616,298.15,101.325,1,C1COCCO1,1.0,38.64,0.0,50.790587254043764,0.24873584372030336
8ee7c82e60b5479288b3482b428d8b84,298.15,101.325,1,CC1CCCCC1,1.0,35.38,0.0,39.885312551265976,0.30254429986380604
d511f5e790d24de79dd7814e9a9f94fa,298.16,101.325,1,O=C1CCCCC1,1.0,44.89,0.0,50.099743387311655,0.2940549166650413
413e16d0dd5d41979421011544e9394a,298.15,101.325,1,C1CCCCC1,1.0,33.02,0.0,36.14866352689024,0.2043295963684181
dd9241fb705144fb94c88bbbd69d3a18,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,49.213589869128555,0.2718601237243888
76b745b785a14cb58c26239496c8114c,298.15,101.325,1,CCCC(C)=O,1.0,38.43,0.0,42.549969415047165,0.2448083883646533
