Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
fb5bc2412cb74a7bbdf65656731bee86,298.15,101.0,2,CCCCO,0.7447,CCOC(C)=O,0.2553,0.8276000000000002,0.0,0.8278400134672393,0.0002902213198307946
f9c24cd3e0224ebaaa6459a7f99ff86a,298.15,101.0,2,CCCCO,0.4963,CCOC(C)=O,0.5037,0.8494000000000002,0.0,0.8496955733491607,0.000336351169607073
bb9301096e2b44a28c41cc5b6dd3b2c2,298.15,101.0,2,CCCCO,0.2525,CCOC(C)=O,0.7475,0.8715000000000002,0.0,0.8725390432833292,0.00025831148525731843
c4095dd1b04e482a8359dd8ec1dffecb,298.15,101.3,2,CCCCCO,0.7708,CCOCC,0.2292,0.7975000000000002,0.0,0.7921467373554264,0.0002925219352201387
3471375531c54791819369a3a9be6c28,298.15,101.3,2,CCCCCO,0.2648,CCOCC,0.7352,0.7479000000000001,0.0,0.7453725675886668,0.0002681204813255661
adb0e24fae38419cad868c5ec8045c82,298.15,101.3,2,CCCCCO,0.4567,CCOCC,0.5433,0.7704000000000002,0.0,0.7636498594545523,0.00026873516113575847
0095303573e44aaf8293b2797b3eba89,298.15,100.0,2,COC(C)=O,0.2606,CCCC(=O)OC,0.7394,0.8985700000000003,0.0,0.8957197679111389,0.00022832541186952778
5ca266df22b844f7a726c598d140d701,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.9041900000000004,0.0,0.9021013933768491,0.0002206992165135716
befb5b61ceab4476a6c1062cc3eae8b1,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.9147400000000002,0.0,0.9135479636924126,0.00023701145549622423
a64808b7fd284b5b9069a45371ba407c,298.15,101.0,2,C1CCCCC1,0.7608,CCCCCC,0.2392,0.7411800000000002,0.0,0.7210052563564494,0.0002310849058238646
8be3d465703a45be811e7f459f3979ae,298.15,101.0,2,C1CCCCC1,0.4793,CCCCCC,0.5207,0.7105500000000001,0.0,0.6863624450350387,0.00023425728235448843
613ff257756940dbbbcb154b3bc487c8,298.15,101.0,2,CCCCCC,0.2457,C1CCCCC1,0.7543,0.7392000000000002,0.0,0.7197610360698654,0.00021567828953260074
6c7a580c5f094fd1989770f2a90eee2b,298.0,101.3,2,CC(=O)OCCC(C)C,0.7499,C=CC(=O)OCC,0.2501,0.8765820000000002,0.0,0.881474037268886,0.0002643515720799273
