Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
d3f4632f13024f369f5a3659bf4bf209,298.15,101.0,2,CCOC(C)=O,0.5001,CCO,0.4999,0.8520400000000001,0.0,0.8458587694293267,0.00027794954521579226,3.820761136782784e-05,0.023809523809523808,0.04821932532357388,0.00039125359247747153,0.1188419112208036,-0.07138603754688215,0.042483394285911455,0.0022113124785787443,0.19612193388849583,0.004767615183259298,0.010356051395685455,-0.016808245392954196,0.022609145200876386,-0.000829776299363468,0.013546583334553386,-0.008889848033072452
c411fef1a75a461da323ed6d85732898,298.15,101.3,2,CCOC(C)=O,0.7929,CCO,0.2071,0.8785100000000002,0.0,0.8743220487778408,0.00029485538531973674,1.7538935439186622e-05,0.023809523809523808,0.04821932532357388,0.00017960221152663828,0.10836646833725669,-0.04968415376773399,0.04345967432217349,0.002870499177365129,0.13753406682318567,0.005426321852169635,0.012231004587599513,-0.014046035982646119,0.021179445004542403,-0.0023181517088877055,0.0024837969621362642,-0.004991138805193393
2d405379dd184c1482d2f2886a9442c0,298.15,101.3,2,CCOC(C)=O,0.2836,CCO,0.7164,0.8272700000000002,0.0,0.8200592076822754,0.00043330174679688885,5.199552584935917e-05,0.023809523809523808,0.04821932532357388,0.0005324445981579185,0.26209836092326316,-0.06370595146306526,0.03082123684900038,0.0019276977722507331,0.24719018252641317,0.015789150216804215,0.010280927136036573,-0.007347300949467215,0.017085251528547334,0.0014901167863082924,0.009600538047474702,-0.04498505331907779
37d4555b84be409b90fe461483c80afc,298.15,100.0,2,COC=O,0.4946,CO,0.5054,0.8956100000000002,0.0,0.9148488866862986,0.00040814495260390904,0.00037013476092822835,0.023809523809523808,0.04821932532357388,0.0037902540810467954,,,-0.17014059406558715,0.029166742040002296,-0.3723610687400254,0.03381366729585811,-0.04993487645336774,0.09149410994317303,-0.11337712255504546,0.02582082841072006,-0.04230816844699138,0.11284665217237103
cf6aeb50271b4d5b8eaed85e02347194,298.15,100.0,2,COC=O,0.0833,CO,0.9167,0.8088000000000002,0.0,0.8101951036335923,0.0004239166142537407,1.946314148461814e-06,0.023809523809523808,0.04821932532357388,1.9930646680431525e-05,,,-0.002681904692338085,0.0002711532711170153,-0.0325280828783143,0.002717871746280147,-0.0008845410405129813,0.0011397955553640727,-0.0020581063055882926,-0.0005302083948170182,-0.009885158762240583,0.011167582119677258
5f66e57aaecc4cb6b949d4f6b1063214,298.15,100.0,2,COC=O,0.7271,CO,0.2729,0.9321000000000004,0.0,0.9575803545486015,0.00033500402642093615,0.0006492484679224164,0.023809523809523808,0.04821932532357388,0.0066484343404684615,,,-0.28095679712113775,0.035377132599698234,-0.3473936105396371,0.0636789508586418,-0.09839460837328505,0.13189377548423808,-0.16404048610887847,0.04547992343549261,-0.03767935921692859,0.038309366807022176
7c03380049384f30a298945bb04129ab,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.6999,CC(C)CO,0.3001,0.9950010000000002,0.0,0.9955216826200353,0.0002659954590044076,2.711103908065308e-07,0.023809523809523808,0.04821932532357388,2.7762246987872047e-06,0.0035185788549747274,0.006609613635584768,-0.004182762969174398,2.8212588006652806e-05,-0.01486997895801685,-0.00019684124640945828,-0.001120095489016891,0.002064166728402197,-0.0024369028719739435,0.000480401254563218,-0.00015584160722358274,0.0005386435736170177
4ebb87dcc7fb4f1d917d610ec750534f,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.3,CC(C)CO,0.7,0.8987460000000002,0.0,0.8968922051525962,0.0002904927073073349,3.4365553362616197e-06,0.023809523809523808,0.04821932532357388,3.519101490317594e-05,0.017399814006140945,-0.022881568834575164,0.006899872737143934,-0.00014682863414424942,0.061030579835163405,0.0041992718947262845,0.000765382909088692,-0.005702415991645393,0.004436908823328736,-3.18451733762251e-05,0.0006795388411970467,-0.007944552751113412
eb5d4aebf7284884a4cecd15514d03d5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5001,CC(C)CO,0.4999,0.9511160000000002,0.0,0.9518269930856339,0.00025175472347213856,5.055111678189518e-07,0.023809523809523808,0.04821932532357388,5.176535600264905e-06,-0.002878716741827765,0.00817504539029288,-0.004314890509128472,-0.0003196952188680184,-0.020598334121712848,-0.0010258371324689069,-0.0007122600226780459,0.002473232794359609,-0.002288736373686691,0.00025084838796676464,-0.0003857312209120533,0.0015489253219663716
98d2cc7c7cb140ce8b4c508da55b85c9,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7001,CC(C)O,0.2999,0.9994170000000002,0.0,1.0013575141959226,0.0002471044424748439,3.765595344576119e-06,0.023809523809523808,0.04821932532357388,3.856045048716188e-05,-0.0028727021387389058,0.022133942778643594,-0.0186647972279304,-0.0021883275118646747,-0.056137064785460364,-0.0031532205572749375,-0.005485448182353879,0.006027728103458304,-0.009833791763873981,-0.000808892924058108,0.0003954487923722653,0.004321394805832556
74967cdda79c417b8ab64f869bcfafd4,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CC(C)O,0.5001,0.9563730000000004,0.0,0.9596657752310607,0.0002856376963913192,1.0842368722284261e-05,0.023809523809523808,0.04821932532357388,0.00011102802718337694,-0.010515666879109915,0.039718956738319953,-0.02574043240997317,-0.002386088515127317,-0.09365648262901158,-0.0014905782515478832,-0.005108276620980472,0.012933239102417119,-0.012745348169109983,0.0010391948605184254,-0.0015214255139056694,0.008340608228443928
83c71ad91eb2428fb41bdf0090581913,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2,CC(C)O,0.8,0.8674040000000002,0.0,0.8699858884179713,0.00035309671316554404,6.6661478028534865e-06,0.023809523809523808,0.04821932532357388,6.826268857121984e-05,-0.08930776536674026,0.02577018573494954,-0.008647489421552197,-0.0004240448198874286,-0.08440551650616662,-0.00807035971303309,-0.003670344213475111,0.0015069730752695228,-0.005897104039359269,-0.0012488254762789929,-0.003543713007364629,0.009056352180446654
e9352488fdff41d48249242a23255c44,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8891964273308677,0.0,0.9204755902246157,0.0003398426019642828,0.0009783860313336212,0.023809523809523808,0.04821932532357388,0.010018868908182625,-0.4767945026406266,0.1744661689481472,-0.2977218521847603,0.034627926272675316,-0.722288621073179,-0.01940490683914715,-0.11727731821622635,0.0868292554956625,-0.1717006806377783,0.04734604206066806,-0.02282517852248584,0.052323812834117925
f89fbde314ad4a919d1c5a42265c6aeb,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,0.8409570497216361,0.0,0.8660159765454881,0.0003850660742554653,0.0006279498135631704,0.023809523809523808,0.04821932532357388,0.006430331854218622,-0.2229317275377541,0.28312166368188996,-0.12741508672822197,0.0235679789652388,-0.7125827515373035,-0.030429636934599068,-0.04750586288697063,0.05587950432870798,-0.08914156367517986,0.011834527911324196,-0.019587948981231753,0.0790240934608238
43e062c05d5c443ea9686a7f8fc9cc01,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8035019431958534,0.0,0.82150218352754,0.00033430114027285774,0.00032400865199847575,0.023809523809523808,0.04821932532357388,0.003317913487649505,-0.1807693222539611,0.2571453904650756,-0.036233099273347724,0.008583071198493367,-0.5862072269297256,-0.05309686444185534,-0.022540467147066406,0.0005937276379318939,-0.026622456989317023,0.00503257457977772,-0.031552187416425084,0.05329372990585976
f43a90ae27ae479896118e83070611ae,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.8266077003431636,0.0,0.821730028038154,0.0002782781717357503,2.3791687115057397e-05,0.023809523809523808,0.04821932532357388,0.00024363164096419628,0.30684642690485403,-0.060682992265224146,0.02524720543996278,0.0030671487729847405,0.2095898962583485,0.027117988385808978,0.010051680739094597,-0.0014559206893221197,0.013307718312338575,0.0011098443116668716,0.005080963002302492,-0.007218556730054534
1051462bef374aae8248154179ad5c8e,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.8504597383810222,0.0,0.8407436907289888,0.0002729142788898896,9.44015819765833e-05,0.023809523809523808,0.04821932532357388,0.0009666911058196977,0.2773921960019247,-0.12872255339333946,0.057314432456270964,0.0033458627147992595,0.34877869582761206,0.03495286496267189,0.022852225687926383,-0.007458509823933311,0.027847156047895488,-0.004138472994870089,0.010919594250204211,0.007676099442038681
133ff32344f945b6bf350c87928f7115,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.8010966665339349,0.0,0.803239674481657,0.0003339692831100702,4.592483064000314e-06,0.023809523809523808,0.04821932532357388,4.7027946339902826e-05,-0.08850285530599063,0.03056079436587417,-0.005075194428355354,-0.00028855005886781096,-0.08409911544198233,-0.00937109537089452,-0.0007733197480416424,0.002251713899735628,-0.002679278389722418,-1.071309388785086e-05,0.0026367988358206714,0.01645720188452516
9c1d832e5f4b432d96bd5c259ca49856,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2001,CCO,0.7999,0.8893660000000002,0.0,0.8863853348321671,0.0002911089598928966,8.8843648427337e-06,0.023809523809523808,0.04821932532357388,9.097767531542301e-05,-0.03660911191807951,-0.036301681058965495,0.011612931997812022,0.0007237758691487192,0.0825123269270148,-0.0001447550028267308,0.002768899988747402,-0.0057736594284827384,0.006575964588820595,0.000327201880993158,0.002761226295949737,-0.01766854887123265
940a0049d2dc44bfa0d0d50656491b98,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CCO,0.5001,0.9755770000000002,0.0,0.9753821261980188,0.00024689472353510796,3.797579869871144e-08,0.023809523809523808,0.04821932532357388,3.888797843191852e-07,0.00344037052981528,-0.0014973799608104586,0.0013817544474202213,0.0001039321417149263,0.005194260128562431,0.00021955283148679175,0.00040849497753783434,-0.0005117444193459809,0.0006787976518225448,-0.00016410487067546484,-3.402137296426087e-05,-0.0008235537359904246
0d25e658d159451d86425a327a2793b8,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7497,CCO,0.2503,1.0189280000000005,0.0,1.0181744271995692,0.0003199748783676917,5.678719655498907e-07,0.023809523809523808,0.04821932532357388,5.815122658406298e-06,-0.0020025856017319376,-0.00952768683820005,0.008287296310444997,0.0005270873401317916,0.023195552798762877,0.00040696440822057025,0.002555018488102252,-0.0032750432044070395,0.004444885696071995,-0.0001878573132206746,-7.539199013454194e-05,-0.0015079617148656247
76ae02fc56984fde9fb5c4a0387e31f5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,0.954786,0.0,0.9476911571872133,0.0003468411451693159,5.033679453815133e-05,0.023809523809523808,0.04821932532357388,0.000515458857326933,0.09865655163833516,-0.08756256823575531,0.057925076680959184,0.003992649651866702,0.24147200744795447,0.007646970101372519,0.007355155889518369,-0.03726329698775364,0.031960513376738414,-0.0014112276920615495,0.0075325231725356925,-0.010465669161149512
8d5d0fe0ccfb48799913f364890405db,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7998,CCCCO,0.2002,1.0158560000000003,0.0,1.0126692547779246,0.00023482203673558417,1.0155345110422541e-05,0.023809523809523808,0.04821932532357388,0.00010399276780351193,0.0007933241337892385,-0.03250518802659391,0.026773819209234846,0.001369984095930256,0.08141830196543745,0.002844900719091533,0.006836802082337896,-0.012297094546941088,0.01349158737169505,-0.0029916520938593344,0.0005625653274570541,-0.0020742975664112006
36734771ab7c41879c12b96360ce30c1,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2002,CCCCO,0.7998,0.8748860000000002,0.0,0.8595278053020362,0.00026186263573717256,0.00023587414438056817,0.023809523809523808,0.04821932532357388,0.0024153984784077787,0.2640375473613635,-0.1903544210546102,0.06265635456512336,0.006869119478260025,0.5683780765700044,0.04978234546425614,0.018292393282902223,-0.01749151076221564,0.02910990909390512,-0.002643805051505198,0.0012553419697184124,-0.09486569406953213
7f1aa96aacde46daa9cd08a80cc0cc19,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2501,CO,0.7499,0.9355040000000002,0.0,0.9358859901981335,0.0003400839496231581,1.459165114698649e-07,0.023809523809523808,0.04821932532357388,1.4942143010394238e-06,-0.001467165222951748,0.002373341046276138,-0.0021423709857137717,3.5160418499755e-05,-0.01012006087452975,0.0002552887689139258,-0.0006824347986818247,0.0009999926620807545,-0.001261962018388349,0.00021945825896181807,-0.0011032659429399687,0.0020055661668485427
16ca1c59f9ab4a2b8f8e3a913661c5de,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5004,CO,0.4996,0.9962350000000002,0.0,0.996689888879292,0.0002900634395310203,2.0692389250334312e-07,0.023809523809523808,0.04821932532357388,2.118942101141818e-06,-0.0006806909827362247,0.003474938314159864,-0.003787278082764837,-0.0003326388689072242,-0.010536177227382836,0.0003543910580346549,-0.0010291366459364017,0.0016471060492975536,-0.0018456585960740137,0.00014389660209124946,-0.0005177209946276819,0.0012012504902605622
99e093908d364da38e465e65ecc8dd54,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7978,CO,0.2022,1.0336070000000002,0.0,1.0332026598294375,0.0002751732609141665,1.6349097353065563e-07,0.023809523809523808,0.04821932532357388,1.674180312286421e-06,-0.0018638874950336686,-0.003796606331084578,0.00414200731227524,0.00029845924548807415,0.009645521327879871,0.0002160850324502283,0.0009751344391707882,-0.0020858100345869644,0.0017489149005156066,-0.0005375099312825075,-3.2201709346842955e-05,-0.0005713914388717884
12e4875aaedf4bd1986b1fb838c7f98a,298.15,101.3,2,CC(=O)O,0.7031,CCO,0.2969,0.97355,0.0,0.9923049387343378,0.00034968117022155486,0.0003517477269287627,0.023809523809523808,0.04821932532357388,0.0036019671704090386,-0.11643357514323914,0.1518215412801096,-0.17356047978354855,0.0001433065694148232,-0.3037130255488508,0.0016674532367568944,-0.03399688144393759,0.10539754608632988,,,-0.04587681359985461,0.1207408912974785
81b0eb0e09d2497eba0fe576270f8469,298.15,101.3,2,CC(=O)O,0.4961,CCO,0.5039,0.9199600000000002,0.0,0.9281776328328777,0.0003192967796676774,6.75294893759857e-05,0.023809523809523808,0.04821932532357388,0.0006915154957520114,-0.11942626531279703,0.06859161588375585,-0.06022888339737738,0.0001949361424989849,-0.17219981417820773,-0.0031813931774568155,-0.0216218405733263,0.018056232891959786,,,-0.04849287157057766,0.009965524372404772
90d0dbe5dc30400085e4e2053509f6b9,298.15,101.3,2,CC(=O)O,0.2971,CCO,0.7029,0.8668600000000002,0.0,0.8683344711419118,0.0003694277889201175,2.1740651483300115e-06,0.023809523809523808,0.04821932532357388,2.2262862532161025e-05,-0.03802668386711409,0.011796943002810983,-0.007002156373269436,8.684286686521998e-05,-0.039869205183899754,-0.0011970674020275471,-0.0028781901968825577,0.0013754550800312477,,,-0.0023488219540416695,0.01583000634132858
