Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
c9baf2c4d6454369a7a204c872e6f1b0,298.15,101.325,1,C1CCOCC1,1.0,0.8788100000000002,0.0,0.8860355525687598,0.00023559296248983958,5.220860992390793e-05,0.007874015748031496,0.04821932532357388,0.00017680565443930381,-0.048824144369914904,0.024004599607353915,-0.11444750432354672,-0.00869892749081488,,,,,,,-0.010896325928131641,0.00236307888230651,ether
efcc795e1d64433d8e9a6c1c9c5a299f,298.15,101.325,1,CCCCOCCCC,1.0,0.7640700000000002,0.0,0.7647939535091449,0.0001792949680614306,5.241086834028822e-07,0.007874015748031496,0.04821932532357388,1.7749060720334203e-06,-0.009705641644529776,0.002736272878355486,-0.010554149229906277,-0.0010086075942466867,,,,,,,-0.0006526539122271683,-7.256525344388167e-05,ether
34ae4b32490945aa8994d7ced26dbf30,298.15,101.325,1,COC(C)(C)C,1.0,0.7352700000000002,0.0,0.7464272500119379,0.0002580869222086467,0.00012448422782888337,0.007874015748031496,0.04821932532357388,0.00042156869146171784,-0.11773898349890444,0.051963911567114704,-0.1737515402777931,-0.012556905036197915,,,,,,,-0.016306296173922184,0.0008250770448570188,ether
2c5bfd43a3594e59924cefca8964d47d,298.15,101.325,1,CC(C)OC(C)C,1.0,0.7184600000000002,0.0,0.7333839299986417,0.00023911765344025975,0.00022272368660435017,0.007874015748031496,0.04821932532357388,0.0007542588708377729,-0.2744176433462483,0.060606117946334616,-0.2228669743222542,-0.025005461419182903,,,,,,,-0.015756981641058355,-0.001399484905810872,ether
a586bf1dde484f718e6a2147ec6819ce,298.15,101.325,1,C1COCCO1,1.0,1.02787,0.0,1.073196749878032,0.000282229071913669,0.002054514254505662,0.007874015748031496,0.04821932532357388,0.006957659624574848,,,-0.448449575580927,0.03403080927223815,,,,,,,-0.1196118088198662,0.03120608159072345,ether
